access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,beamwidth_deg,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,finite_time_discovery_rate,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mean_sensing_pd,mean_sensing_snr_db,method,method_key,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,phase,piggyback_sense_actions,policy_seed,protocol,run,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,source_type,step_reward_mean,true_edges_seen,tx_actions
31261,0.20840666666666666,79695,0.5313,39044,0.2602933333333333,150000,10,100,0.673202614379085,0.15547169811320755,0.4854368932038835,1,206,11.477601961221307,0.41556995368714944,0.011477601961221306,0.16816326530612244,2319,0.12920659683530197,495.70475,2.4063337378640774,improved_rl_isac,1,-32.8803596496582,-1644.01806640625,1,,67859,0.0,1.7743760137839173,50,1.0,2660.0073469387753,,0.0,0.0,MARL+gate,notable_gate,gauss_markov,9.827045956246618,50,3000.0,,3000.0,,3000.0,,eval_stochastic,17948,,improved_rl_isac,notable_gate_N50_B10_3000slot_stochastic,7053,17948,87.12621359223301,30260706,30260706,64193,0.0,0.0,0.0,0,0,3000,marl,-0.01096012070775032,1225,10895
31317,0.20878,79761,0.53174,38922,0.25948,150000,10,104,0.6780185758513931,0.16478555304740405,0.4748858447488584,1,219,12.266158843956536,0.44423798985352314,0.012266158843956536,0.17877551020408164,2341,0.13111907695754452,492.97900000000004,2.2510456621004566,improved_rl_isac,2,-32.32421875,-1616.2109375,2,,68396,0.0,2.2339659913814995,50,1.0,2640.8448979591835,,0.0,0.0,MARL+gate,notable_gate,gauss_markov,9.745028443464806,50,3000.0,,3000.0,,3000.0,,eval_stochastic,17854,,improved_rl_isac,notable_gate_N50_B10_3000slot_stochastic,6872,17854,81.52511415525115,30260707,30260707,63750,0.0,0.0,0.0,0,0,3000,marl,-0.010774740017950535,1225,10982
0,0.0,0,0.0,300000,1.0,300000,10,21512,0.039128104341611576,0.03310407376615524,24.557077625570777,1,876,6.660989111259808,0.7543933076012878,0.006660989111259809,0.17696969696969697,7132,0.05423079262728876,1161.1979999999999,1.3255684931506848,improved_rl_isac,0,-78.1618881225586,-7816.189453125,0,,80032,0.0,7.978780526315581,100,1.0,2633.589696969697,,0.0,0.0,MARL,notable_nogate,gauss_markov,8.750619243114308,100,3000.0,,3000.0,,3000.0,,eval_stochastic,131512,,improved_rl_isac,notable_nogate_N100_B10_3000slot_stochastic,89309,131512,150.12785388127853,30260705,30260705,88456,0.0,0.0,0.0,0,0,3000,marl,-0.026053965091705322,4950,42203
0,0.0,0,0.0,300000,1.0,300000,10,23598,0.036737692872887584,0.031525851197982346,26.22,1,900,7.007381108100533,0.7765623139486122,0.007007381108100533,0.18181818181818182,7273,0.056627425332461304,1158.9540000000002,1.287726666666667,improved_rl_isac,1,-77.56159210205078,-7756.1591796875,1,,81464,0.0,7.837395857301887,100,1.0,2623.768686868687,,0.0,0.0,MARL,notable_nogate,gauss_markov,8.914099994555125,100,3000.0,,3000.0,,3000.0,,eval_stochastic,128436,,improved_rl_isac,notable_nogate_N100_B10_3000slot_stochastic,86314,128436,142.70666666666668,30260706,30260706,90100,0.0,0.0,0.0,0,0,3000,marl,-0.02585386484861374,4950,42122
0,0.0,0,0.0,300000,1.0,300000,10,20804,0.04155533032341288,0.03502368564106546,23.06430155210643,1,902,6.805595376420348,0.7755173805739775,0.006805595376420347,0.18222222222222223,7103,0.053592177337820096,1163.0945,1.2894617516629712,improved_rl_isac,2,-77.30490112304688,-7730.4892578125,2,,79314,0.0,7.379525325644232,100,1.0,2624.7329292929294,,0.0,0.0,MARL,notable_nogate,gauss_markov,8.878948161327196,100,3000.0,,3000.0,,3000.0,,eval_stochastic,132538,,improved_rl_isac,notable_nogate_N100_B10_3000slot_stochastic,90425,132538,146.9379157427938,30260707,30260707,88148,0.0,0.0,0.0,0,0,3000,marl,-0.025768296793103218,4950,42113
0,0.0,0,0.0,150000,1.0,150000,10,8850,0.037729694465586605,0.03444168734491315,25.504322766570606,1,347,4.890974953134029,0.5884195804670136,0.004890974953134029,0.283265306122449,5138,0.07242025737522376,589.71525,1.6994675792507203,improved_rl_isac,0,-91.95848846435547,-4597.9248046875,0,,36509,0.0,5.991183327286421,50,1.0,2396.4612244897958,,0.0,0.0,MARL,notable_nogate,gauss_markov,8.961439163199403,50,3000.0,,3000.0,,3000.0,,eval_stochastic,70947,,improved_rl_isac,notable_nogate_N50_B10_3000slot_stochastic,50179,70947,204.45821325648416,30260705,30260705,42544,0.0,0.0,0.0,0,0,3000,marl,-0.030652832239866257,1225,20768
0,0.0,0,0.0,150000,1.0,150000,10,9730,0.036442859972271736,0.033591967138293016,26.440217391304348,1,368,5.259321718997871,0.6276663561025841,0.005259321718997871,0.3004081632653061,5081,0.07261579797344614,586.29875,1.593203125,improved_rl_isac,1,-90.9052963256836,-4545.2646484375,1,,37267,0.0,7.413761694277303,50,1.0,2363.6702040816326,,0.0,0.0,MARL,notable_nogate,gauss_markov,9.827045956246618,50,3000.0,,3000.0,,3000.0,,eval_stochastic,69971,,improved_rl_isac,notable_nogate_N50_B10_3000slot_stochastic,49708,69971,190.13858695652175,30260706,30260706,42762,0.0,0.0,0.0,0,0,3000,marl,-0.030301764607429504,1225,20263
0,0.0,0,0.0,150000,1.0,150000,10,8807,0.03832714566499236,0.034988038277511964,25.09116809116809,1,351,4.965622612681436,0.5945222649435119,0.004965622612681436,0.28653061224489795,5237,0.07408822114704468,590.39,1.682022792022792,improved_rl_isac,2,-91.4397964477539,-4571.98974609375,2,,36456,0.0,6.217202012760236,50,1.0,2385.922448979592,,0.0,0.0,MARL,notable_nogate,gauss_markov,9.745028443464806,50,3000.0,,3000.0,,3000.0,,eval_stochastic,70686,,improved_rl_isac,notable_nogate_N50_B10_3000slot_stochastic,49994,70686,201.3846153846154,30260707,30260707,42858,0.0,0.0,0.0,0,0,3000,marl,-0.030479932203888893,1225,20692
84409,0.28136333333333335,86423,0.28807666666666665,129168,0.43056,300000,10,13051,0.05605381165919283,0.04305316371312705,16.84,1,775,6.509268358236534,0.6549127434400452,0.0065092683582365345,0.15656565656565657,37496,0.3149310017554027,1183.3637500000002,1.5269209677419358,improved_rl_isac_tables,0,-66.73632049560547,-6673.630859375,0,,76479,0.0,4.237627566733675,100,1.0,2659.0151515151515,,0.0,0.0,MARL+tables+gate,table_gate,gauss_markov,8.644959615200404,100,3000.0,,3000.0,,3000.0,,eval_stochastic,119061,,improved_rl_isac_tables,table_gate_N100_B10_3000slot,88441,119061,153.62709677419355,30270705,30270705,104460,0.0,0.0,0.0,0,0,3000,marl,-0.022245436906814575,4950,30620
85121,0.2837366666666667,86011,0.2867033333333333,128868,0.42956,300000,10,12265,0.05733610022288833,0.04333430148126634,16.44101876675603,1,746,6.156842678639222,0.6277850862752169,0.006156842678639222,0.1507070707070707,38406,0.31697010712576135,1188.30475,1.5929018096514747,improved_rl_isac_tables,1,-68.06257629394531,-6806.2578125,1,,75003,0.0,5.632873831055454,100,1.0,2672.1060606060605,,0.0,0.0,MARL+tables+gate,table_gate,gauss_markov,8.205313470927814,100,3000.0,,3000.0,,3000.0,,eval_stochastic,121166,,improved_rl_isac_tables,table_gate_N100_B10_3000slot,90214,121166,162.42091152815013,30270706,30270706,103831,0.0,0.0,0.0,0,0,3000,marl,-0.022687526419758797,4950,30952
