access_gate_aggressive_ratio_mean,access_gate_aggressive_ratio_std,access_gate_backoff_ratio_mean,access_gate_backoff_ratio_std,access_gate_normal_ratio_mean,access_gate_normal_ratio_std,beamwidth_deg,collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,energy_per_discovery_censored_j_mean,energy_per_discovery_censored_j_std,episodes,lambda2_mean,lambda2_std,method,node_count,scan_actions_per_discovery_censored_mean,scan_actions_per_discovery_censored_std
0.0,0.0,0.0,0.0,1.0,0.0,10,118806.66666666667,11381.892036622616,0.010682464532303803,0.000866503942733054,0.2657912457912458,0.00545953132894527,0.006744564861148684,0.001644928020352864,0.9608056389708975,0.022916492694545477,3,13.016569311695013,1.7199185753526427,BC-MARL,100,196.85285331965903,4.9343831294567195
0.07132333333333334,0.00018095426064186268,0.12309222222222221,0.00038847756024616513,0.8055844444444444,0.00028066059639780735,10,115782.0,13033.74692864642,0.010707270279425238,0.001046998212570125,0.25952861952861955,0.013998313967495934,0.005171116473209013,0.0007158561750549966,0.9796579013447811,0.05327776554661889,3,13.338390218108984,1.6685855822592615,BC-MARL+gate,100,210.04161315796966,11.257780604994707
nan,0.0,nan,0.0,nan,0.0,10,4676.666666666667,558.6021243544759,0.39515919662968496,0.017191202863309944,0.7672053872053872,0.010226160724349185,0.45196746926882153,0.010805544805218373,0.3632351068531412,0.004895518576849062,3,43.30733631034523,0.5921524249366932,Collision-aware ISAC,100,75.90122488039634,1.0141374587254313
0.0,0.0,0.0,0.0,1.0,0.0,10,21971.333333333332,1452.5320421021127,0.03321787020173435,0.0017516916593303537,0.18033670033670035,0.0029229002578061583,0.054816798432523385,0.0016002295773012943,1.300918970493441,0.02136473391850653,3,7.7319005697539,0.31324693239366147,MARL,100,146.590812096913,3.722749739684014
0.20890444444444445,0.0004557330277614179,0.5306988888888889,0.000620271744509655,0.26039666666666667,0.00033246553706110565,10,298.0,38.22302970723278,0.09588897476197888,0.004508853882390977,0.10168350168350168,0.005500492351962864,0.09660094493015196,0.0026157127925103404,1.9244971239485382,0.10592450343958408,3,2.6077134962858426,0.3359102700744612,MARL+gate,100,72.36502924941351,4.561545937297068
0.0,0.0,0.0,0.0,1.0,0.0,10,9248.0,1119.9124965817641,0.051790239470519604,0.0040530253841644165,0.14794612794612794,0.0023931792113019335,0.2932080906593313,0.01360414940606108,0.8900403030430368,0.017118505001637262,3,4.414243396323237,0.6344773993419528,MARL+tables,100,120.48793268053305,2.516192986042435
0.28207333333333334,0.0014456178994157335,0.28780666666666666,0.0009961648681039055,0.43012,0.0005106858133921502,10,12220.666666666666,853.3641270485498,0.04348245239747657,0.0005194583528922652,0.15077441077441078,0.005757871101173262,0.3069426406061756,0.015635441235287498,1.5916514643307653,0.0641144685585123,3,4.732637744876739,0.7809187294036796,MARL+tables+gate,100,162.20495355667722,8.471942414577304
nan,0.0,nan,0.0,nan,0.0,10,6272.666666666667,823.4903359076737,0.33787789672694474,0.02047131569796805,0.7637710437710438,0.00849766548382349,0.45370634192275516,0.013070962655868558,0.38503140051247253,0.004527831126464602,3,42.96328171748141,4.357820691971847,Rule ISAC,100,76.21607697911843,0.8652332509669532
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.0028956228956228958,0.00042053858575073386,0.0028956228956228958,0.00042053858575073386,0.9015674361186968,0.0020689704529440987,91.35461527777777,14.262948601777621,3,-4.2145452980423884e-16,3.7115411419997427e-16,Uniform random,100,18057.026388888888,2810.1253823609236
nan,0.0,nan,0.0,nan,0.0,10,1343.3333333333333,230.94227272921114,0.5359722670548044,0.013336690510548753,0.6810101010101011,0.0077218241832793365,0.8226722222222222,0.0028240245775868603,0.3805174687695787,0.004451233046203567,3,42.53762566032042,2.939904348032165,Wang ISAC,100,89.00194398769519,1.0027938507442955
nan,0.0,nan,0.0,nan,0.0,10,2268.3333333333335,574.4713511858823,0.4476693231350826,0.040493148158297534,0.6500336700336701,0.02453138669341919,0.8597866666666667,0.002589448675769518,0.3990130512987887,0.015305053598972152,3,29.883069999652488,7.695665968633019,Wang ISAC+tables,100,93.32565799560892,3.5930624044522554
nan,0.0,nan,0.0,nan,0.0,10,9942.333333333334,1903.513680889458,0.2488295412647335,0.029672363965403414,0.7410774410774411,0.010368839801345628,0.3916780172860642,0.015537889487346315,0.3968480622678055,0.0054327103376941065,3,48.84889172657278,3.3529883340339035,baseline_improved_rl_isac_tables,100,78.53762681115776,1.0877374806125408
nan,0.0,nan,0.0,nan,0.0,10,0.0,0.0,0.004107744107744108,0.0008164549261267437,0.004107744107744108,0.0008164549261267437,0.9015430097733234,0.0016555612862806423,60.36635537037037,10.835538490753706,3,-2.8012649190018593e-16,4.851933165171537e-16,baseline_improved_rl_no_isac,100,14780.963703703705,2644.5930301863623
