training_seed,arm,scenario_seed,tx_ratio,discovery_rate,mean_delay_censored,neighbor_knowledge_recall,aligned_handshake_opportunities,step_reward_mean
29261711,B,33260727,0.495,0.5333333333333333,208.15555555555557,0.8777777777777778,38.0,0.02937803603708744
29261711,B,33260728,0.49933333333333335,0.4888888888888889,209.62222222222223,0.7555555555555555,43.0,0.02739100158214569
29261711,B,33260729,0.496,0.5555555555555556,203.22222222222223,0.8,35.0,0.0307159423828125
29261711,B,33260730,0.504,0.5111111111111111,204.0,0.8666666666666667,30.0,0.02880741097033024
29261711,C,33260711,0.35933333333333334,0.5333333333333333,206.64444444444445,0.9333333333333333,25.0,0.0295984148979187
29261711,C,33260712,0.407,0.4222222222222222,232.8,0.7666666666666667,22.0,0.023006850853562355
29261711,C,33260713,0.38033333333333336,0.4222222222222222,228.8,0.7666666666666667,33.0,0.023234521970152855
29261711,C,33260714,0.423,0.4666666666666667,237.9777777777778,0.8111111111111111,32.0,0.024637222290039062
29261711,C,33260715,0.36566666666666664,0.5333333333333333,207.2888888888889,0.8444444444444444,34.0,0.029489919543266296
29261711,C,33260716,0.33866666666666667,0.5333333333333333,199.44444444444446,0.9444444444444444,25.0,0.030140217393636703
29261711,C,33260717,0.37633333333333335,0.4888888888888889,219.0222222222222,0.8888888888888888,27.0,0.027023641392588615
29261711,C,33260718,0.37933333333333336,0.4888888888888889,215.9777777777778,0.8777777777777778,25.0,0.02702273800969124
29261711,C,33260719,0.407,0.4888888888888889,228.7111111111111,0.7333333333333333,23.0,0.02609788067638874
29261711,C,33260720,0.406,0.4222222222222222,235.53333333333333,0.7,24.0,0.022797830402851105
29261711,C,33260721,0.3426666666666667,0.5555555555555556,199.22222222222223,0.8777777777777778,27.0,0.031060276553034782
29261711,C,33260722,0.43266666666666664,0.4,252.2888888888889,0.7666666666666667,24.0,0.020550299435853958
29261711,C,33260723,0.32366666666666666,0.5777777777777777,191.57777777777778,0.9888888888888889,30.0,0.032552190124988556
29261711,C,33260724,0.3343333333333333,0.5333333333333333,207.37777777777777,0.9222222222222223,24.0,0.029549898579716682
29261711,C,33260725,0.361,0.5111111111111111,212.15555555555557,0.9111111111111111,24.0,0.028263699263334274
29261711,C,33260726,0.35333333333333333,0.5333333333333333,210.66666666666666,0.9333333333333333,28.0,0.02927573397755623
29261711,C,33260727,0.386,0.4222222222222222,239.6,0.6,38.0,0.02235848270356655
29261711,C,33260728,0.38566666666666666,0.5111111111111111,225.6,0.8333333333333334,26.0,0.02722865715622902
29261711,C,33260729,0.348,0.5333333333333333,207.73333333333332,0.9,29.0,0.029489807784557343
29261711,C,33260730,0.4156666666666667,0.4444444444444444,235.22222222222223,0.7111111111111111,34.0,0.023641245439648628
29261711,D,33260711,0.31233333333333335,0.5111111111111111,185.64444444444445,0.8777777777777778,27.0,0.030228683724999428
29261711,D,33260712,0.39466666666666667,0.4222222222222222,235.44444444444446,0.7555555555555555,23.0,0.022801188752055168
29261711,D,33260713,0.365,0.4444444444444444,209.8,0.7333333333333333,35.0,0.025527626276016235
29261711,D,33260714,0.44866666666666666,0.3111111111111111,254.77777777777777,0.4666666666666667,29.0,0.016673006117343903
29261711,D,33260715,0.3433333333333333,0.5555555555555556,200.75555555555556,0.9555555555555556,27.0,0.030954891815781593
29261711,D,33260716,0.374,0.4,213.06666666666666,0.7,23.0,0.02353847026824951
29261711,D,33260717,0.39466666666666667,0.37777777777777777,238.84444444444443,0.6777777777777778,31.0,0.020638668909668922
29261711,D,33260718,0.32166666666666666,0.6,182.55555555555554,0.9333333333333333,32.0,0.034134455025196075
29261711,D,33260719,0.43066666666666664,0.3333333333333333,237.06666666666666,0.45555555555555555,17.0,0.019022447988390923
29261711,D,33260720,0.31333333333333335,0.5111111111111111,189.86666666666667,0.9111111111111111,43.0,0.029784291982650757
29261711,D,33260721,0.37633333333333335,0.4444444444444444,224.57777777777778,0.8,26.0,0.024505579844117165
29261711,D,33260722,0.39866666666666667,0.4444444444444444,232.9111111111111,0.7555555555555555,20.0,0.023948490619659424
29261711,D,33260723,0.3873333333333333,0.4222222222222222,226.35555555555555,0.6888888888888889,30.0,0.0234384685754776
29261711,D,33260724,0.4003333333333333,0.4888888888888889,229.37777777777777,0.8222222222222222,29.0,0.025967711582779884
29261711,D,33260725,0.3526666666666667,0.4888888888888889,203.93333333333334,0.8222222222222222,24.0,0.027955763041973114
29261711,D,33260726,0.335,0.5555555555555556,203.66666666666666,0.9333333333333333,30.0,0.0307158250361681
29261711,D,33260727,0.388,0.4,227.0888888888889,0.7555555555555555,32.0,0.02245328575372696
29261711,D,33260728,0.316,0.5555555555555556,182.6888888888889,0.9666666666666667,38.0,0.03223108872771263
29261711,D,33260729,0.3516666666666667,0.4666666666666667,213.11111111111111,0.8222222222222222,21.0,0.026358462870121002
29261711,D,33260730,0.3576666666666667,0.4888888888888889,208.62222222222223,0.7555555555555555,31.0,0.0275262501090765
29262711,A,33260711,0.499,0.5555555555555556,207.24444444444444,0.9,30.0,0.030416594818234444
29262711,A,33260712,0.484,0.4222222222222222,237.84444444444443,0.7444444444444445,21.0,0.022643918171525
29262711,A,33260713,0.493,0.5333333333333333,210.75555555555556,0.9222222222222223,33.0,0.02921571396291256
29262711,A,33260714,0.5003333333333333,0.4666666666666667,229.88888888888889,0.8777777777777778,25.0,0.02506924979388714
29262711,A,33260715,0.51,0.4444444444444444,228.88888888888889,0.8,25.0,0.024217834696173668
29262711,A,33260716,0.503,0.4444444444444444,235.86666666666667,0.7222222222222222,29.0,0.023666083812713623
29262711,A,33260717,0.5173333333333333,0.4666666666666667,218.75555555555556,0.8444444444444444,32.0,0.02584037184715271
29262711,A,33260718,0.502,0.4666666666666667,249.0222222222222,0.7777777777777778,25.0,0.023619450628757477
29262711,A,33260719,0.501,0.6222222222222222,204.15555555555557,0.9333333333333333,31.0,0.03342236950993538
29262711,A,33260720,0.492,0.6444444444444445,197.57777777777778,0.9333333333333333,32.0,0.03485735505819321
29262711,A,33260721,0.502,0.5555555555555556,208.64444444444445,0.8888888888888888,26.0,0.030367912724614143
29262711,A,33260722,0.487,0.5111111111111111,227.0,0.7777777777777778,26.0,0.027113307267427444
29262711,A,33260723,0.5003333333333333,0.6222222222222222,204.06666666666666,0.8555555555555555,41.0,0.03337239474058151
29262711,A,33260724,0.5056666666666667,0.5777777777777777,193.93333333333334,0.9222222222222223,31.0,0.03233827278017998
29262711,A,33260725,0.49566666666666664,0.5333333333333333,191.77777777777777,0.9,30.0,0.030653808265924454
29262711,A,33260726,0.492,0.4888888888888889,203.51111111111112,0.8444444444444444,28.0,0.027940863743424416
29262711,A,33260727,0.49833333333333335,0.5111111111111111,211.57777777777778,0.8777777777777778,34.0,0.02824050933122635
29262711,A,33260728,0.504,0.5777777777777777,202.22222222222223,0.9222222222222223,35.0,0.031951189041137695
29262711,A,33260729,0.5,0.6444444444444445,201.2,0.9111111111111111,33.0,0.0345781147480011
29262711,A,33260730,0.4876666666666667,0.3333333333333333,241.7111111111111,0.5111111111111111,22.0,0.01860961690545082
