area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discovery_rate,elevation_cells,empty_scan_ratio,episode,finite_time_discovery_rate,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,protocol,range_mode,range_sweep_enabled,scenario_seed,seed,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen
378.549864614954,fixed,12,20290704,72,30.0,4,0,397.4773578457017,1.05,6,4,0.08888888888888889,6,0.9014492753623189,0,0.08888888888888889,0.3,0.0,3,0.3,569.8666666666667,569.8666666666667,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,12,20290704,72,30.0,4,1999,397.4773578457017,1.05,1,44,0.9777777777777777,6,0.42502172024326673,0,0.9777777777777777,0.0,8.000000000000002,10,1.0,77.62222222222222,77.62222222222222,gauss_markov,3.371907089390524,10,135.00000000000006,135.00000000000006,401.7999999999999,401.7999999999999,545.4400000000003,545.4400000000003,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,45
378.549864614954,fixed,120,20290704,7200,3.0,5,0,397.4773578457017,1.05,20,0,0.0,60,0.99675,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,120,20290704,7200,3.0,5,0,397.4773578457017,1.05,20,0,0.0,60,0.9978454607775928,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,False,20290704,20301901,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,120,20290704,7200,3.0,5,0,397.4773578457017,1.05,20,0,0.0,60,0.9980492336274965,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,False,20290704,20296402,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,120,20290704,7200,3.0,5,0,397.4773578457017,1.05,20,0,0.0,60,0.9984688669615516,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,120,20290704,7200,3.0,5,0,397.4773578457017,1.05,20,0,0.0,60,0.9915011780545271,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,72,20290704,2592,5.0,6,0,397.4773578457017,1.05,20,0,0.0,36,0.9915,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,72,20290704,2592,5.0,6,0,397.4773578457017,1.05,20,0,0.0,36,0.9921653119185192,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,False,20290704,20301901,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,72,20290704,2592,5.0,6,0,397.4773578457017,1.05,20,0,0.0,36,0.9914537854156991,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,False,20290704,20296402,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,72,20290704,2592,5.0,6,0,397.4773578457017,1.05,20,0,0.0,36,0.9914086423953726,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,72,20290704,2592,5.0,6,0,397.4773578457017,1.05,6,18,0.09473684210526316,36,0.9627555781793501,0,0.09473684210526316,0.2,-4.297037358647318e-16,14,0.7,564.6263157894737,564.6263157894737,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,36,20290704,648,10.0,7,0,397.4773578457017,1.05,20,0,0.0,18,0.97375,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,36,20290704,648,10.0,7,0,397.4773578457017,1.05,20,0,0.0,18,0.9744393301341691,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,False,20290704,20301901,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,36,20290704,648,10.0,7,0,397.4773578457017,1.05,20,0,0.0,18,0.974454249883883,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,False,20290704,20296402,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,36,20290704,648,10.0,7,0,397.4773578457017,1.05,20,0,0.0,18,0.9753317454916638,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,36,20290704,648,10.0,7,81,397.4773578457017,1.05,1,113,0.5947368421052631,18,0.8111005446528918,0,0.5947368421052631,0.0,5.6751024495487865,20,1.0,370.8,370.8,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,24,20290704,288,15.0,8,0,397.4773578457017,1.05,20,0,0.0,12,0.9451666666666667,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,24,20290704,288,15.0,8,0,397.4773578457017,1.05,20,0,0.0,12,0.9492703946724121,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,singlehop,False,20290704,20301901,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,24,20290704,288,15.0,8,0,397.4773578457017,1.05,20,0,0.0,12,0.9462145843009754,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,rl_no_isac,singlehop,False,20290704,20296402,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,24,20290704,288,15.0,8,0,397.4773578457017,1.05,20,0,0.0,12,0.9462402177611432,0,0.0,1.0,0.0,1,0.05,600.0,600.0,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,singlehop,False,20290704,20310583,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,24,20290704,288,15.0,8,743,397.4773578457017,1.05,1,159,0.8368421052631579,12,0.5919937748573405,0,0.8368421052631579,0.0,12.82469102021262,20,1.0,245.24736842105264,245.24736842105264,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,singlehop,False,20290704,20304926,397.4773578457017,1.05,1.0,600,10.0,10,190
378.549864614954,fixed,12,20290704,72,30.0,9,0,397.4773578457017,1.05,11,9,0.04736842105263158,6,0.8449166666666666,0,0.04736842105263158,0.35,-1.5813114642449897e-16,5,0.25,586.6315789473684,586.6315789473684,gauss_markov,3.1492041205823837,20,600.0,600.0,600.0,600.0,600.0,600.0,skyorbs_like_skip_scan,singlehop,False,20290704,20317340,397.4773578457017,1.05,1.0,600,10.0,10,190
