action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
wang2025_isac_tables,0,0,1.0,0.06666666666666667,0.0,7,3,1.5,0.33557046979865773,0.0015,0.06666666666666667,1660,0.83,8.94,2.98,wang2025_isac_tables,0,0,0.6,0.0,4,0.4,0,190.15555555555557,0.9172053962332161,-0.9294831826294615,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.9149591129900685,10,200.0,200.0,200.0,980,wang2025_isac_tables,1,1020,2000,666.6666666666666,21170708,21170708,0,0.8666121112929623,0.007732571972400666,0.13338788870703763,8406,1222,200,45,980
wang2025_isac_tables,0,0,1.0,0.1111111111111111,0.0,5,5,2.5,0.5574136008918618,0.0025,0.1111111111111111,1607,0.8035,8.97,1.794,wang2025_isac_tables,1,0,0.3,0.0,5,0.5,0,184.93333333333334,0.7956871948412709,-3.913845821155385,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.361316630180093,10,200.0,200.0,200.0,990,wang2025_isac_tables,1,1010,2000,400.0,21170709,21170709,0,0.748020158387329,0.009037191518943343,0.251979841612671,8631,1389,200,45,990
wang2025_isac_tables,0,0,1.0,0.08888888888888889,0.0,6,4,2.0,0.447878177135819,0.002,0.08888888888888889,1647,0.8235,8.931000000000001,2.2327500000000002,wang2025_isac_tables,2,0,0.5,0.0,5,0.5,0,190.17777777777778,0.9109623562578938,1.3889274270398722,common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.258276149709568,10,200.0,200.0,200.0,977,wang2025_isac_tables,1,1023,2000,500.0,21170710,21170710,0,0.8459616985845129,0.009243009243009243,0.1540383014154871,8547,1201,200,45,977
wang2025_isac_tables,0,0,1.0,0.1111111111111111,0.0,6,5,2.5,0.5570409982174688,0.0025,0.1111111111111111,1642,0.821,8.976,1.7952000000000001,wang2025_isac_tables,3,0,0.5,0.0,5,0.5,0,181.53333333333333,0.9155535301358891,0.4667643680825336,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.572084276538915,10,200.0,200.0,200.0,992,wang2025_isac_tables,1,1008,2000,400.0,21170711,21170711,0,0.8563829787234043,0.009513742071881607,0.14361702127659576,8514,1316,200,45,992
wang2025_isac_tables,0,0,1.0,0.1111111111111111,0.0,5,5,2.5,0.5550005550005551,0.0025,0.1111111111111111,1618,0.809,9.008999999999999,1.8017999999999996,wang2025_isac_tables,4,0,0.1,0.0,3,0.3,0,180.9111111111111,0.821780452547597,-3.3336241345289075,common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.67624565823902,10,200.0,200.0,200.0,1003,wang2025_isac_tables,1,997,2000,400.0,21170712,21170712,0,0.7707692307692308,0.00904977375565611,0.22923076923076924,8619,1300,200,45,1003
wang2025_isac_tables,0,0,1.0,0.06666666666666667,0.0,7,3,1.5,0.32883919763235775,0.0015,0.06666666666666667,1656,0.828,9.123000000000001,3.0410000000000004,wang2025_isac_tables,5,0,0.4,0.0,2,0.2,0,190.53333333333333,0.8897314526597052,-0.7220044479569119,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.838124877760052,10,200.0,200.0,200.0,1041,wang2025_isac_tables,1,959,2000,666.6666666666666,21170713,21170713,0,0.8409658617818485,0.009200044878267699,0.15903413821815154,8913,1201,200,45,1041
wang2025_isac_tables,0,0,1.0,0.06666666666666667,0.0,7,3,1.5,0.33167495854063017,0.0015,0.06666666666666667,1636,0.818,9.045,3.015,wang2025_isac_tables,6,0,0.5,0.0,3,0.3,0,191.46666666666667,0.8929649923038787,0.010919990794485218,common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.435454552255112,10,200.0,200.0,200.0,1015,wang2025_isac_tables,1,985,2000,666.6666666666666,21170714,21170714,0,0.850488354620586,0.008993624772313297,0.14951164537941397,8784,1331,200,45,1015
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11125945705384956,0.0005,0.022222222222222223,1649,0.8245,8.988000000000001,8.988000000000001,wang2025_isac_tables,7,0,0.8,0.0,2,0.2,0,199.8,0.8407454624934043,-2.5324182917579314,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.853434491073446,10,200.0,200.0,200.0,996,wang2025_isac_tables,1,1004,2000,2000.0,21170715,21170715,0,0.7850622406639004,0.00958126330731015,0.2149377593360996,8454,1205,200,45,996
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.111781801922647,0.0005,0.022222222222222223,1705,0.8525,8.946,8.946,wang2025_isac_tables,8,0,0.8,0.0,2,0.2,0,199.17777777777778,0.9052555114662152,1.6675528299084659,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.391841657113522,10,200.0,200.0,200.0,982,wang2025_isac_tables,1,1018,2000,2000.0,21170716,21170716,0,0.852760736196319,0.009184033910279053,0.147239263803681,8493,978,200,45,982
wang2025_isac_tables,0,0,1.0,0.08888888888888889,0.0,6,4,2.0,0.4444444444444444,0.002,0.08888888888888889,1631,0.8155,9.0,2.25,wang2025_isac_tables,9,0,0.4,-2.7755575615628914e-17,4,0.4,0,186.9777777777778,0.8776312648878277,-1.4535434159849672,common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.402009753065775,10,200.0,200.0,200.0,1000,wang2025_isac_tables,1,1000,2000,500.0,21170717,21170717,0,0.8247248094834886,0.008053221288515405,0.17527519051651144,8568,1181,200,45,1000
