slot,samples,candidate_count_mean_mean,positive_beam_recall_mean,empty_opportunity_exclusion_rate_mean,selected_candidate_compliance_mean,selected_undiscovered_beam_rate_mean,tx_fraction_mean
90,150,12.067333333333332,0.9834253742632927,0.54006890349747,1.0,0.4246666666666666,0.41999999999999993
91,150,11.953333333333333,0.983400501495283,0.5439511039439916,1.0,0.4033333333333333,0.4046666666666667
92,150,11.828,0.9827854244652443,0.5483416161825497,1.0,0.396,0.39933333333333326
93,150,11.699333333333332,0.9827016045429321,0.5528468157509544,1.0,0.38133333333333336,0.398
94,150,11.574666666666667,0.9843393433492467,0.5574843118397144,1.0,0.358,0.382
95,150,11.467333333333336,0.9838687731839889,0.5612381561437283,1.0,0.3913333333333333,0.37733333333333335
96,150,11.368666666666668,0.983460735797165,0.564009783384297,1.0,0.35000000000000003,0.374
97,150,11.242,0.9834838340940236,0.5684484275956915,1.0,0.3613333333333333,0.366
98,150,11.150666666666666,0.983061143104953,0.5713261033206702,1.0,0.34933333333333333,0.36266666666666664
99,150,11.054,0.9833126915302601,0.5742911115579947,1.0,0.32466666666666666,0.36599999999999994
100,150,10.932,0.9836945919827488,0.5787938070241142,1.0,0.324,0.3473333333333333
101,150,10.818,0.9830722453215783,0.582764479896865,1.0,0.31533333333333335,0.346
102,150,10.696666666666667,0.9810592521419187,0.5871457347721202,1.0,0.3233333333333333,0.36
103,150,10.590666666666666,0.9817615128441792,0.5908685709447989,1.0,0.3193333333333333,0.33666666666666667
104,150,10.508666666666665,0.9811466933745212,0.5931635110004686,1.0,0.29133333333333333,0.3413333333333333
105,150,10.396666666666667,0.981871241165458,0.5972168241090376,1.0,0.296,0.32133333333333336
106,150,10.297333333333336,0.9820170305068355,0.6004899562248334,1.0,0.2826666666666667,0.3393333333333333
107,150,10.191999999999998,0.9818201332562769,0.603809396318953,1.0,0.264,0.3126666666666667
108,150,10.068,0.9816366105996159,0.6084337769818946,1.0,0.25866666666666666,0.31
109,150,9.95,0.9813783687073161,0.6126087228237871,1.0,0.25400000000000006,0.292
110,150,9.854666666666665,0.9805156943446415,0.6157756927645566,1.0,0.2546666666666667,0.31400000000000006
111,150,9.740666666666668,0.9803627676127674,0.6198747893951086,1.0,0.2573333333333334,0.30866666666666664
112,150,9.654,0.9807449351528298,0.6226920925969598,1.0,0.22333333333333333,0.3
113,150,9.533333333333333,0.9799028564028565,0.6269435279795482,1.0,0.224,0.2966666666666667
114,150,9.414666666666665,0.979701967966674,0.6313136937109585,1.0,0.234,0.2846666666666667
115,150,9.322666666666665,0.9787802748449808,0.6342378030433818,1.0,0.2093333333333333,0.2806666666666667
116,150,9.232000000000001,0.9784922406569465,0.6370943602049685,1.0,0.22,0.28066666666666673
117,150,9.136000000000003,0.9783339211986273,0.6401964522175488,1.0,0.20800000000000002,0.27199999999999996
118,150,9.046000000000001,0.9761187812187812,0.6431268130056409,1.0,0.198,0.25666666666666665
119,150,8.927999999999999,0.9763373166878887,0.647521155737002,1.0,0.17933333333333332,0.24333333333333335
120,150,8.839333333333334,0.9768501372007093,0.6504926553353961,1.0,0.17200000000000001,0.252
121,150,8.723333333333333,0.9775906742494976,0.6550078335104319,1.0,0.18933333333333335,0.252
122,150,8.623999999999999,0.9769710161298398,0.6586327462310863,1.0,0.17400000000000002,0.266
123,150,8.507333333333333,0.9767182164865476,0.6628617599463725,1.0,0.16866666666666666,0.2273333333333333
124,150,8.421333333333335,0.9764307177322296,0.665777065275783,1.0,0.1653333333333333,0.2253333333333333
125,150,8.346666666666666,0.9762292773617851,0.6680921476239631,1.0,0.15733333333333335,0.23199999999999998
126,150,8.256666666666666,0.9754614889066902,0.6711372088723693,1.0,0.15066666666666664,0.23600000000000004
