method,method_label,train_algorithm,train_network,train_reward_version,env_protocol,phase,node_count,beamwidth_deg,beam_count,slots_per_episode,communication_range_m,sensing_range_m,eval_n,episodes,run_n,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,mean_delay_censored_mean,mean_delay_censored_std,mean_delay_censored_ci95,p95_delay_censored_mean,p95_delay_censored_std,p95_delay_censored_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,largest_component_size_mean,largest_component_size_std,largest_component_size_ci95,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_ci95,isolated_node_ratio_mean,isolated_node_ratio_std,isolated_node_ratio_ci95,collision_count_mean,collision_count_std,collision_count_ci95,collisions_per_discovery_censored_mean,collisions_per_discovery_censored_std,collisions_per_discovery_censored_ci95,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_std,discoveries_per_1000_scan_actions_ci95,discoveries_per_joule_mean,discoveries_per_joule_std,discoveries_per_joule_ci95,checkpoint_tag,plot_order
uniform_random,Uniform,protocol_baseline,uniform_random,none,uniform_random,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0129292929292928,0.0016982518805277,0.0010525874206938,0.0129283468516411,0.0016990046373263,0.0010530539841913,2981.155454545454,2.541296593789017,1.5751119474945974,3000.0,0.0,0.0,0.8365545214963517,0.0042384569156252,0.0026270228131021,-1.0930955012550443e-15,1.5732733563451415e-16,9.7512492886924e-17,38.8,16.49781130264793,10.225449384311236,0.388,0.1649781130264793,0.1022544938431124,0.2719999999999999,0.0610646287869572,0.037848249042136,0.4,1.2649110640673518,0.7839999999999999,0.0068965517241379,0.021808811449437,0.0135172413793103,0.2509309003803232,0.0329387061026802,0.020415621554818,0.049613966803506,0.0065171720153855,0.0040393850644587,phase9_baseline,0
skyorbs_like,SkyOrbs-like,protocol_baseline,skyorbs_like,none,skyorbs_like_skip_scan,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0189696969696969,0.0019872737301514,0.0012317250190134,0.0189680977790831,0.0019864897735419,0.0012312391176728,2971.268808080808,3.943502535242291,2.4442081941227563,3000.0,0.0,0.0,0.8324043333333334,0.0037092007890955,0.0022989864673174,-1.033750502724658e-15,3.2390795403057006e-16,2.0076022984841672e-16,76.0,11.962905629950908,7.414685727962071,0.76,0.119629056299509,0.0741468572796207,0.147,0.0447337804249888,0.0277262843605926,0.4,0.8432740427115679,0.5226666666666667,0.0040922852072241,0.0086413192998755,0.0053559451913701,0.313,0.0327900165474979,0.020323462813722,0.0782499999999999,0.0081975041368744,0.0050808657034305,phase9_baseline,1
mappo_no_isac,MARL no ISAC,mappo,shared,legacy,structured_marl_no_isac,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0022222222222221,0.0006097902449924,0.0003779519095491,0.0022222222222221,0.0006097902449924,0.0003779519095491,2996.954101010101,0.8538474106630338,0.5292201080187362,3000.0,0.0,0.0,0.8375762472346118,0.0031753041080668,0.0019680738760554,-1.404867594902498e-16,2.485909484142344e-16,1.5407826612731904e-16,3.1,1.100504934614612,0.6821000252488226,0.031,0.0110050493461461,0.0068210002524882,0.8019999999999999,0.0482585628556102,0.029910967145105,0.0,0.0,0.0,0.0,0.0,0.0,0.0987838508652134,0.026990457343321,0.0167288587777242,0.0106811097583277,0.002927078706411,0.0018142221781562,phase9_baseline,2
contention_no_isac,Contention no ISAC,mappo,contention_shared,collision_topology,structured_marl_no_isac,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0043434343434343,0.0008792972967811,0.0005449941108584,0.0043434343434343,0.0008792972967811,0.0005449941108584,2993.472101010101,1.369504363065576,0.8488275983537776,3000.0,0.0,0.0,0.8373859685015848,0.0032500983621693,0.0020144318350314,-4.866647715285471e-16,3.576076898543312e-16,2.2164754251123166e-16,5.9,4.433458644845529,2.747886137055577,0.059,0.0443345864484552,0.0274788613705557,0.6519999999999999,0.0404969134626331,0.0251002470107367,0.0,0.0,0.0,0.0,0.0,0.0,0.1380964494948763,0.0281842874098908,0.0174688023190362,0.0209255383014332,0.0042662679709529,0.0026442602837799,phase9_baseline,3
contention_actor,MARL+ISAC actor,isac_mappo,contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.4232929292929294,0.0130386265274741,0.0080814244478736,0.1387384918988106,0.0106306895264267,0.0065889696323146,2083.250404040404,23.34489308676387,14.469314641909357,3000.0,0.0,0.0,0.0211072505169534,0.0007722677990165,0.0004786565408655,19.8887009453462,3.4370036389989824,2.130276925802685,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10226.9,1183.5063206891257,733.5448173223258,4.881996666666441,0.5527544251237306,0.3426007421450857,18.967271132935743,0.5978538994647699,0.3705536859431107,2.052716007796012,0.0646776370351662,0.0400876147549219,phase9_baseline,4
gated_contention_actor_seed31,seed31,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.3618383838383838,0.0085404888289995,0.0052934498180491,0.2113702926713012,0.0099070878658131,0.0061404766765356,2234.2104242424243,13.840806965288332,8.578621034346702,3000.0,0.0,0.0,0.0267541247237623,0.000747070088271,0.000463038837941,16.17301493741065,2.358352224454398,1.4617218526233071,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3535.0,314.5547117222482,194.9630302048741,1.9750756909977103,0.1836524479686734,0.113828966555528,23.159542078241568,0.6398345258042261,0.3965735477224059,1.8742729833057843,0.0460883417020621,0.028565850138293,seed31,5
gated_contention_actor_seed32,seed32,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.3936969696969696,0.0139736075509862,0.008660931690127,0.1106177930237489,0.0064568243009791,0.0040019811635532,2146.2984646464647,32.50467997871995,20.14660937613518,3000.0,0.0,0.0,0.0194778151717272,0.0005632613530831,0.0003491130035634,19.50427668642436,4.532254479347256,2.809120429686628,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12712.1,1064.8459930379083,659.9983842795039,6.524106232730134,0.4983981561856367,0.3089103776142902,17.24992344600643,0.7160482841741749,0.4438113245585949,1.5462232539766556,0.0571304993288669,0.0354098503414203,seed32,6
gated_contention_actor_seed33,seed33,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.4135757575757576,0.0111714715949328,0.0069241498309488,0.1496792181932144,0.0062058790766658,0.0038464437021059,2093.424383838384,25.91025796608,16.059344267325574,3000.0,0.0,0.0,0.0203400937596044,0.0007129645239477,0.0004418999901681,21.743725779811665,2.8590201476326054,1.772039046394658,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8745.4,608.8828020782544,377.3894706038665,4.271791364375077,0.2720508847838005,0.1686188853346474,19.77615292995776,0.7787157371545145,0.4826530143281534,1.5012617692569312,0.0424907552827904,0.0263360429741121,seed33,7
gated_contention_actor_adaptive,adaptive,isac_mappo,adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.2934949494949494,0.0133080738866615,0.0082484296513253,0.2265031756837917,0.0082719804891685,0.0051270266248243,2397.843818181818,22.918350833232857,14.20494101417539,3000.0,0.0,0.0,0.0380518410303872,0.0017940426880774,0.0011119591783235,10.992504926426127,1.98538402407149,1.2305537670505886,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1463.7,157.62053588708972,97.69422028622438,1.0066960436774886,0.0898737979412286,0.0557043570789507,28.075114875453817,1.5552115901849373,0.9639301302214464,2.419822569506382,0.1178049196451159,0.0730162456677295,adaptive,8
gated_contention_actor_topology_v3,topology_v3,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.3856767676767677,0.0122008048985618,0.0075621372222918,0.142480204200075,0.0075543313752022,0.004682223095681,2171.683494949495,23.10370433905639,14.31982430731252,3000.0,0.0,0.0,0.0206186256618237,0.0006988241760319,0.0004331357117292,18.104308024280023,2.5957239372525303,1.6088463644726447,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8476.1,691.0147851770853,428.2954011302634,4.441977322896824,0.3662647321072341,0.2270132328898514,20.06925377326441,0.7263240936363066,0.4501803372482351,1.5748058454609204,0.0492684666236765,0.0305369119855415,topology_v3,9
