path_loss_exponent,sinr_threshold_db,tx_power_w,samples,edge_coverage_rate,edge_coverage_ci95_low,edge_coverage_ci95_high,mid_coverage_rate,mid_coverage_ci95_low,mid_coverage_ci95_high,equal_power_decode_rate,equal_power_decode_ci95_low,equal_power_decode_ci95_high,near_far_capture_rate,near_far_capture_ci95_low,near_far_capture_ci95_high,one_sided_interference_survival_rate,one_sided_interference_survival_ci95_low,one_sided_interference_survival_ci95_high,edge_snr_mean_db,edge_snr_p10_db,edge_snr_p50_db,feasible,calibration_score
2.0,2.5,1.0,20000,0.99945,0.9990153237654903,0.9996928514180666,0.9999,0.9996354263863794,0.9999725759647273,0.5132,0.5062710259169821,0.5201239043311366,0.97595,0.9737335717583239,0.9779836291198701,0.99925,0.9987628321888334,0.9995454198091459,13.9410930311542,10.292164913177757,14.04944741223235,0,0.5120999999999998
2.0,2.5,2.0,20000,0.99995,0.9997168094297738,0.9999911737177268,1.0,0.9998079639438954,0.9999999999999999,0.51965,0.5127227245724215,0.5265697284105735,0.9763,0.9740986147522265,0.9783184517007281,0.99945,0.9990153237654903,0.9996928514180666,16.95139298779401,13.30246486981757,17.059747368872163,0,0.51955
2.3,2.5,2.0,20000,0.7426,0.7364946210455338,0.7486122030600443,0.99045,0.9890047789778478,0.9917068528547193,0.4218,0.4149714148808109,0.42865861955836393,0.9894,0.9878837525564804,0.9907282825518043,0.9735,0.9711814340040085,0.9756367078508604,4.235711105714503,0.5867829877380635,4.344065486792663,0,0.5366
2.2,5.0,1.0,20000,0.58015,0.5732953388326629,0.5869738777875435,0.97185,0.9694655151093717,0.9740532604644824,0.1505,0.14561168862794432,0.15552254457527276,0.94365,0.9403681308955372,0.9467614755118812,0.9293,0.925664552392552,0.9327705654496765,5.463971776434508,1.815043658458059,5.572326157512666,0,0.6396999999999999
2.1,2.5,0.25,20000,0.67465,0.6681239624952967,0.6811089593103058,0.979,0.9769189117736424,0.9808971176846092,0.397,0.3902395072455059,0.40380005218205167,0.97975,0.9777037798243616,0.9816119615798059,0.96555,0.9629316203409645,0.9679895748871966,3.6819324905147295,0.03300437253827601,3.7902868715928837,0,0.6477000000000002
2.0,7.5,0.25,20000,0.5738,0.5669328501364603,0.5806388053416587,0.96115,0.9583821518349946,0.96374073331046,0.04265,0.03993626855485413,0.045539386825664774,0.7611,0.7551405604656625,0.7669591583058397,0.89735,0.8930671715088775,0.9014802174373361,7.920493117874575,4.271564999898135,8.028847498952727,0,0.6524000000000001
2.1,0.0,0.25,20000,0.90145,0.8972418028201472,0.9055040114304063,0.9965,0.9955807217006262,0.9972285864956619,0.87695,0.8723248545246007,0.8814303694927019,0.9962,0.995246781717087,0.9969626417008347,0.99325,0.9920166536273292,0.9942939028033235,3.6819324905147295,0.03300437253827601,3.7902868715928837,0,0.6798499999999998
2.0,10.0,0.5,20000,0.64345,0.6367848268239769,0.6500600780315267,0.97145,0.9690498548960583,0.9736690743066406,0.0105,0.009178359419231705,0.012009643879694724,0.5392,0.5322849414838909,0.5461000028893105,0.85265,0.8476698851882961,0.8574946717813333,10.930793074514387,7.281864956537945,11.039147455592538,0,0.7239000000000001
2.3,0.0,2.0,20000,0.9281,0.9244370911773611,0.9315984875514022,0.99845,0.9978007844517176,0.9989077748039517,0.9014,0.8971908796862396,0.9054549537679195,0.9982,0.9975091840363307,0.9986994712373666,0.99545,0.994417390611427,0.9962923208605788,4.235711105714503,0.5867829877380635,4.344065486792663,0,0.7576
2.2,0.0,0.5,20000,0.816,0.8105693311237907,0.821309302088751,0.9934,0.9921791719019251,0.9944313269179108,0.8457,0.8406272689451468,0.8506399573256624,0.99725,0.9964225502305817,0.9978864699116221,0.987,0.9853339769564371,0.988478979924917,2.453671819794696,-1.1952562981817534,2.562026200872854,0,0.8137000000000001
2.2,0.0,1.0,20000,0.96655,0.9639670617160825,0.9689537494399663,0.9992,0.9987007797717246,0.9995074914298606,0.92125,0.9174356801307815,0.9249025294919504,0.99745,0.9966490860306292,0.9980598572971522,0.9973,0.9964790919161391,0.997929909022459,5.463971776434508,1.815043658458059,5.572326157512666,0,0.8543499999999999
2.1,0.0,0.5,20000,0.986,0.9842758497881283,0.9875374911653378,0.9996,0.9992108209764861,0.9997972965962543,0.93665,0.9331894875706269,0.9399428073415769,0.9967,0.9958041621451786,0.997405069236687,0.99855,0.9979183363699895,0.9989901844784685,6.692232447154542,3.0433043291780875,6.800586828232696,0,0.90865
2.0,0.0,0.25,20000,0.994,0.9928307494523352,0.9949795189242334,0.99975,0.9994148495964674,0.9998932103654561,0.94995,0.9468407106610043,0.9528864760921071,0.995,0.9939228956291228,0.9958869886753337,0.99915,0.9986390788900333,0.9994692115151574,7.920493117874575,4.271564999898135,8.028847498952727,0,0.9379499999999998
2.2,2.5,0.5,20000,0.5094,0.502470565470093,0.5163258242520523,0.96125,0.9584854396522249,0.9638374070860187,0.3676,0.36094386029979997,0.37430699084785646,0.98465,0.9828507153421648,0.9862631441086529,0.9376,0.934163000741594,0.9408689293021033,2.453671819794696,-1.1952562981817534,2.562026200872854,0,0.9488000000000001
2.2,0.0,2.0,20000,0.9958,0.9948035509604237,0.9966060260863429,0.9998,0.9994858195143681,0.9999222212439498,0.9606,0.9578141540350967,0.9632089423500197,0.99755,0.996762740834407,0.9981461640861634,0.9992,0.9987007797717246,0.9995074914298606,8.47427173307432,4.825343615097871,8.582626114152477,0,0.9521999999999999
2.1,0.0,1.0,20000,0.99825,0.9975672660559343,0.9987413700141574,0.99985,0.9995590363727073,0.999948985182005,0.96865,0.9661434567124781,0.970976547892135,0.99685,0.995972211169275,0.9975369626017738,0.99955,0.9991449078924859,0.99976322888386,9.702532403794354,6.0536042858179,9.810886784872507,0,0.96515
2.0,0.0,0.5,20000,0.9993,0.9988252697172566,0.9995829630771171,0.99985,0.9995590363727073,0.999948985182005,0.97435,0.9720662659557207,0.976451549437853,0.9952,0.9941424112223024,0.9960673962677314,0.9998,0.9994858195143681,0.9999222212439498,10.930793074514387,7.281864956537945,11.039147455592538,0,0.97295
2.1,0.0,2.0,20000,0.99985,0.9995590363727073,0.999948985182005,0.99995,0.9997168094297738,0.9999911737177268,0.9832,0.9813237800719425,0.9848906362834378,0.99695,0.9960844826976206,0.997624652666217,0.99985,0.9995590363727073,0.999948985182005,12.712832360434165,9.063904242457712,12.821186741512319,0,0.9828999999999999
2.0,0.0,1.0,20000,0.9999,0.9996354263863794,0.9999725759647273,0.99995,0.9997168094297738,0.9999911737177268,0.98665,0.9849633758827118,0.9881497154238815,0.99525,0.9941973537644435,0.9961124345219847,0.99995,0.9997168094297738,0.9999911737177268,13.9410930311542,10.292164913177757,14.04944741223235,0,0.98645
2.3,5.0,2.0,20000,0.40475,0.3979662998523539,0.411570283016334,0.94935,0.9462237383962658,0.952303678800113,0.1379,0.13319096209095307,0.14274811042087784,0.95535,0.9523991303064729,0.9581259824572326,0.8862,0.8817244436101863,0.8905272277400784,4.235711105714503,0.5867829877380635,4.344065486792663,0,0.9905
2.0,0.0,2.0,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.99395,0.9927763542646242,0.99493393331555,0.99545,0.994417390611427,0.9962923208605788,0.99995,0.9997168094297738,0.9999911737177268,16.95139298779401,13.30246486981757,17.059747368872163,0,0.9939499999999999
2.1,7.5,0.5,20000,0.39805,0.39128625938318673,0.404852896768653,0.92965,0.9260226173526043,0.933112366064385,0.03905,0.03645262860052563,0.04182440943959723,0.7983,0.7926817469997804,0.8038036842891476,0.8355,0.83029771840958,0.8405734253967737,6.692232447154542,3.0433043291780875,6.800586828232696,0,1.0039
2.1,10.0,1.0,20000,0.47205,0.46513734574054977,0.47897338907498654,0.9491,0.9459667015955553,0.9520608116188516,0.00995,0.008665483721428117,0.011422730817160026,0.58735,0.580510905225888,0.5941555460751106,0.7836,0.7778388127357938,0.7892522644131836,9.702532403794354,6.0536042858179,9.810886784872507,0,1.0185499999999998
2.3,0.0,1.0,20000,0.68015,0.6736518245529827,0.686578984856003,0.9857,0.9839588367686715,0.9872546194064286,0.80725,0.8017243892350217,0.8126576046085021,0.99795,0.9972203323503435,0.9984884189413819,0.9764,0.9742029347186725,0.9784140933270711,1.2254111490746913,-2.4235169689017484,1.3337655301528506,0,1.04695
