method,training_seed,episode_start,episode_end,training_step_end,discovery_rate,bilateral_alignment_per_active_pair_slot,aligned_opportunity_per_bilateral_alignment,tx_ratio,episode_return_mean_per_agent,measurement_prediction_aux_loss,measurement_prediction_sample_count,max_rollout_replay_logprob_error
learned_beam_residual_isac_measurement_aux,39260711,501,625,10000,0.808,0.104,0.7062937062937062,0.62325,1.71279993891716,0.003769925738498568,19.944,0.0
learned_beam_residual_isac_measurement_aux,39261720,1,125,2000,0.176,0.014885699096225412,0.7857142857142857,0.3445,0.3411999690234661,0.23166841113567352,11.024,0.0
learned_beam_residual_isac_measurement_aux,39261720,126,250,4000,0.712,0.08403954802259887,0.7478991596638656,0.595,1.5187999488115311,0.02827976316958666,19.04,0.0
learned_beam_residual_isac_measurement_aux,39261720,251,375,6000,0.744,0.0859621451104101,0.8532110091743119,0.612,1.6371999197006226,0.00807599562369287,19.584,0.0
learned_beam_residual_isac_measurement_aux,39261720,376,500,8000,0.696,0.08246597277822258,0.8446601941747572,0.52925,1.5559999048113824,0.008224697710946203,16.936,0.0
learned_beam_residual_isac_measurement_aux,39261720,501,625,10000,0.616,0.06656580937972768,0.875,0.469,1.3787999033927918,0.009322260031849147,15.008,0.0
learned_beam_residual_isac_measurement_aux,39262729,1,125,2000,0.176,0.013804527885146328,0.88,0.3875,0.369199974745512,0.20896788235306743,12.4,0.0
learned_beam_residual_isac_measurement_aux,39262729,126,250,4000,0.192,0.014092140921409214,0.9230769230769231,0.3165,0.3851999813616276,0.016976266854628923,10.128,0.0
learned_beam_residual_isac_measurement_aux,39262729,251,375,6000,0.368,0.031139835487661575,0.8679245283018868,0.3575,0.7679999732673168,0.012180770041979849,11.44,0.0
learned_beam_residual_isac_measurement_aux,39262729,376,500,8000,0.504,0.052096569250317665,0.7682926829268293,0.48125,1.0707999429106712,0.0031138103252276775,15.4,0.0
learned_beam_residual_isac_measurement_aux,39262729,501,625,10000,0.776,0.08569299552906111,0.8434782608695652,0.587,1.6667999275922776,0.0012799884776584804,18.784,0.0
