episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
16,,471.59375,299,17081.84765625,47.25484002050968,5100,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
17,,659.25,99,16907.921875,47.79188632493756,5200,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
17,,659.25,199,16854.23046875,47.957674117287056,5300,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
17,,659.375,299,16873.75,47.89740190205457,5400,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
18,,668.546875,99,16873.87109375,47.89702798997288,5500,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
18,,668.546875,199,16857.51171875,47.94754230604125,5600,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
18,,668.625,299,16789.74609375,48.15678833162721,5700,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
19,,680.1953125,99,16826.91015625,48.04203350758842,5800,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
19,,680.140625,199,16830.640625,48.03051460313635,5900,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
19,,680.140625,299,16767.9453125,48.224104568011526,6000,train_n10_b10_isac_mappo_300slot,isac_mappo,shared,legacy,isac_structured_marl,10,648,36,18,5.0
0,,303.29296875,99,20307.15625,37.295764094766696,100,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
0,,322.0078125,199,20332.19921875,37.21843666393711,200,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
0,,341.37890625,299,20306.59765625,37.29748891501449,300,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
1,,436.94140625,99,20229.70703125,37.53491102520783,400,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
1,,453.97265625,199,19745.5390625,39.02992008292646,500,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
1,,472.640625,299,19614.5,39.43454120203568,600,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
2,,1754.1015625,99,18894.4453125,41.65791893320712,700,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
2,,1770.37109375,199,18853.26953125,41.7850611026619,800,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
2,,1787.33984375,299,18852.55078125,41.78728045179194,900,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
3,,1807.62890625,99,18716.078125,42.208679367857,1000,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
3,,1824.3515625,199,18736.08984375,42.14688738093765,1100,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
3,,1841.15234375,299,18751.6171875,42.0989422027209,1200,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
4,,1763.828125,99,18861.86328125,41.75852540654195,1300,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
4,,1779.76171875,199,18892.77734375,41.663069270590405,1400,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
4,,1796.75390625,299,18816.0859375,41.89987623510096,1500,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
5,,1831.01953125,99,18728.296875,42.17095043264644,1600,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
5,,1845.97265625,199,18719.45703125,42.19824601460983,1700,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
5,,1862.9921875,299,18703.421875,42.24775921123367,1800,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
6,,1850.359375,99,17798.9140625,45.04068947457996,1900,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
6,,1867.09765625,199,18489.265625,42.90902875854313,2000,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
6,,1884.12890625,299,18460.80078125,42.99692222110048,2100,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
7,,1986.2109375,99,18403.125,43.17501292710559,2200,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
7,,1986.34375,199,18433.23828125,43.08202943556524,2300,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
7,,1986.375,299,18312.80078125,43.45391515500646,2400,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
8,,2036.71484375,99,18244.16796875,43.665838873564525,2500,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
8,,2036.73828125,199,18245.6796875,43.66117100338342,2600,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
8,,2036.8515625,299,18255.09765625,43.63209029277195,2700,train_n10_b10_isac_mappo_scalegraph_beam_300slot,isac_mappo,scalegraph_beam,legacy,isac_structured_marl,10,648,36,18,5.0
