algorithm,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,idle_actions,lambda2,lcc_ratio,new_edges_count,reward_mean,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions,run,network,reward_version,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,115,26,0.5777777777777777,0.949685534591195,isac_structured_marl,0,-12.184999480843544,127,2.3796264564245955,1.0,0,-0.0390000008046627,-0.3900000154972076,479,954,20260705,379,145,146,45,475,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,117,27,0.6,0.9471544715447154,isac_structured_marl,0,-12.08499963581562,133,2.584881421518282,1.0,0,-0.0459999963641166,-0.4599999785423279,494,984,20260705,393,150,151,45,490,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,125,28,0.6222222222222222,0.9437869822485208,isac_structured_marl,0,-11.964999452233316,139,2.7321962766263788,1.0,1,0.1580000221729278,1.5800001621246338,514,1014,20260705,407,155,156,45,500,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,133,29,0.6444444444444445,0.9414024975984632,isac_structured_marl,0,-11.859999224543571,144,2.7335131999512345,1.0,0,-0.0359999947249889,-0.3599999547004699,529,1041,20260705,425,160,161,45,512,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,133,30,0.6666666666666666,0.9400187441424556,isac_structured_marl,0,-11.644999131560326,147,2.733696330924276,1.0,0,-0.0294999964535236,-0.2949999570846557,544,1067,20260705,446,165,166,45,523,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,133,31,0.6888888888888889,0.9390354868061874,isac_structured_marl,0,-11.774999126791954,153,2.736487857721664,1.0,0,-0.0389999970793724,-0.3899999558925628,561,1099,20260705,458,170,171,45,538,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,133,31,0.6888888888888889,0.9394479073909172,isac_structured_marl,0,-13.434999033808708,161,2.736487857721664,1.0,0,-0.0459999963641166,-0.4599999785423279,575,1123,20260705,476,175,176,45,548,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,140,31,0.6888888888888889,0.9367965367965368,isac_structured_marl,0,-15.534999147057531,165,2.736487857721664,1.0,0,-0.0270000007003545,-0.270000010728836,596,1155,20260705,490,180,181,45,559,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,144,31,0.6888888888888889,0.9349662162162162,isac_structured_marl,0,-17.43999917805195,172,2.736487857721664,1.0,0,-0.0395000018179416,-0.395000010728836,617,1184,20260705,504,185,186,45,567,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,146,31,0.6888888888888889,0.934156378600823,isac_structured_marl,0,-19.524999126791958,179,2.736487857721664,1.0,0,-0.0494999997317791,-0.4950000047683716,633,1215,20260705,516,190,191,45,582,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,154,31,0.6888888888888889,0.9352,isac_structured_marl,0,-21.864999070763588,183,2.736487857721664,1.0,0,-0.0474999994039535,-0.4749999940395355,653,1250,20260705,527,195,196,45,597,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,158,31,0.6888888888888889,0.934850863422292,isac_structured_marl,0,-23.58499900996685,191,2.736487857721664,1.0,0,-0.0329999960958957,-0.3299999535083771,667,1274,20260705,545,200,201,45,607,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,173,31,0.6888888888888889,0.9341500765696784,isac_structured_marl,0,-25.64499901235104,199,2.736487857721664,1.0,0,-0.0414999984204769,-0.4149999916553497,684,1306,20260705,555,205,206,45,622,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,173,33,0.7333333333333333,0.9304412864622288,isac_structured_marl,0,-23.474999114871025,209,3.6486225922003706,1.0,1,0.1634999811649322,1.6349998712539673,704,1337,20260705,564,210,211,45,633,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,187,33,0.7333333333333333,0.924927113702624,isac_structured_marl,0,-25.644999161362648,211,3.6486225922003706,1.0,0,-0.0395000018179416,-0.395000010728836,721,1372,20260705,577,215,216,45,651,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,195,33,0.7333333333333333,0.9187455452601568,isac_structured_marl,0,-27.649999126791958,214,3.6486225922003706,1.0,0,-0.039499994367361,-0.3949999511241913,739,1403,20260705,593,220,221,45,664,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,199,33,0.7333333333333333,0.913588850174216,isac_structured_marl,0,-29.44999910891056,218,3.6486225922003706,1.0,0,-0.0294999983161687,-0.2949999868869781,762,1435,20260705,607,225,226,45,673,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,208,34,0.7555555555555555,0.907912687585266,isac_structured_marl,0,-29.34999905526638,226,3.775851106018397,1.0,0,-0.032999999821186,-0.3300000131130218,778,1466,20260705,618,230,231,45,688,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
