method,method_label,episode,training_step,discovery_rate,discovered_edges,tx_fraction,episode_return_sum
clean_stable,Clean CTDE + stable reward,5,1800,0.1333333333333333,6,0.16533333333333333,22.30733299255371
clean_stable,Clean CTDE + stable reward,6,2100,0.0222222222222222,1,0.17666666666666667,0.0961877703666687
clean_stable,Clean CTDE + stable reward,7,2400,0.1555555555555555,7,0.20466666666666666,29.289403915405277
clean_stable,Clean CTDE + stable reward,8,2700,0.2222222222222222,10,0.209,41.17366027832031
clean_stable,Clean CTDE + stable reward,9,3000,0.2444444444444444,11,0.21533333333333332,44.48960876464844
clean_stable,Clean CTDE + stable reward,10,3300,0.1333333333333333,6,0.27366666666666667,25.00257682800293
clean_stable,Clean CTDE + stable reward,11,3600,0.2222222222222222,10,0.33066666666666666,41.46019744873047
clean_stable,Clean CTDE + stable reward,12,3900,0.2888888888888888,13,0.3913333333333333,55.790775299072266
clean_stable,Clean CTDE + stable reward,13,4200,0.2888888888888888,13,0.4726666666666667,58.91531753540039
clean_stable,Clean CTDE + stable reward,14,4500,0.2222222222222222,10,0.5013333333333333,46.55751037597656
clean_stable,Clean CTDE + stable reward,15,4800,0.3555555555555555,16,0.529,71.16790771484375
clean_stable,Clean CTDE + stable reward,16,5100,0.2444444444444444,11,0.565,54.88423156738281
clean_stable,Clean CTDE + stable reward,17,5400,0.2888888888888888,13,0.602,60.37101364135742
clean_stable,Clean CTDE + stable reward,18,5700,0.2222222222222222,10,0.6413333333333333,49.88435745239258
clean_stable,Clean CTDE + stable reward,19,6000,0.2888888888888888,13,0.668,60.84786987304688
clean_stable,Clean CTDE + stable reward,20,6300,0.3111111111111111,14,0.6633333333333333,65.5028305053711
clean_stable,Clean CTDE + stable reward,21,6600,0.2222222222222222,10,0.6793333333333333,51.50522994995117
clean_stable,Clean CTDE + stable reward,22,6900,0.2888888888888888,13,0.6856666666666666,61.51901245117188
clean_stable,Clean CTDE + stable reward,23,7200,0.3333333333333333,15,0.7096666666666667,69.10508728027344
clean_stable,Clean CTDE + stable reward,24,7500,0.3555555555555555,16,0.7056666666666667,74.37696838378906
clean_stable,Clean CTDE + stable reward,25,7800,0.2666666666666666,12,0.6853333333333333,58.89845657348633
clean_stable,Clean CTDE + stable reward,26,8100,0.3555555555555555,16,0.6713333333333333,74.10347747802734
clean_stable,Clean CTDE + stable reward,27,8400,0.2666666666666666,12,0.618,57.3818588256836
clean_stable,Clean CTDE + stable reward,28,8700,0.2,9,0.6093333333333333,47.10024642944336
clean_stable,Clean CTDE + stable reward,29,9000,0.2,9,0.5716666666666667,45.943302154541016
