angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions
0.0,815.56096023333,density,36,20292722,648,10.0,4,0,1.0,0.0032323232323232323,0.0,856.3390082449965,1.05,84,16,0.06278252134605726,0.012406524591282556,6.278252134605726e-05,0.0032323232323232323,18,229486,0.900481855851331,1289.644,80.60275,0,0.0,0.0032323232323232323,0,False,0.7,-3.766952803685543e-16,3,0.03,2995.8050505050505,2995.8050505050505,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,uniform_random,singlehop,False,127754,254848,15928.0,20292722,20303919,45152,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,127094
0.0,815.56096023333,density,36,20292722,648,10.0,4,0,1.0,0.0028282828282828283,0.0,856.3390082449965,1.05,86,14,0.04666666666666666,0.011666666666666667,4.6666666666666665e-05,0.0028282828282828283,18,270088,0.9002933333333333,1200.0,85.71428571428571,0,0.0,0.0028282828282828283,0,False,0.74,-5.201971267306078e-16,4,0.04,2995.222424242424,2995.222424242424,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,skyorbs_like_skip_scan,singlehop,False,150000,300000,21428.571428571428,20292722,20319358,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,150000
0.0,815.56096023333,density,36,20292722,648,10.0,4,0,1.0,0.0048484848484848485,0.0,856.3390082449965,1.05,76,24,0.08180879239996319,0.020010851718129646,8.180879239996319e-05,0.0048484848484848485,18,264210,0.9006125433330947,1199.34925,49.972885416666664,0,0.0,0.0048484848484848485,6633,False,0.62,-7.943843282208952e-16,7,0.07,2992.741616161616,2992.741616161616,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,improved_rl_no_isac,singlehop,False,134572,293367,12223.625,20292722,20312601,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,158795
0.0,815.56096023333,density,36,20292722,648,10.0,4,5668,0.4013519222644698,0.3578828404595969,1.4915789473684211,856.3390082449965,1.05,1,3800,13.20705534798853,2.6158534832928706,0.013207055347988531,0.7676767676767676,18,137722,0.47865844121991485,1452.6807500000002,0.3822844078947369,0,0.0,0.7676767676767676,12275,False,0.0,44.573255147622596,100,1.0,1363.8438383838384,1363.8438383838384,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,287725,improved_rl_isac,singlehop,False,138369,287725,75.71710526315789,20292722,20306944,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,149356
0.0,815.56096023333,density,36,20292722,648,10.0,4,4509,0.4580528846153846,0.4028967121260176,1.183154027814222,856.3390082449965,1.05,1,3811,13.224648996786664,2.761889404845808,0.013224648996786664,0.7698989898989899,18,136378,0.4732488010715748,1379.8525,0.362070978745736,0,0.0,0.7698989898989899,11826,False,0.0,51.043680879477975,100,1.0,1349.2084848484849,1349.2084848484849,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,288174,collision_aware_isac,singlehop,False,176074,288174,75.6163736552086,20292722,20314642,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,112100
0.0,815.56096023333,density,24,20292722,288,15.0,5,0,1.0,0.010505050505050505,0.0,856.3390082449965,1.05,48,52,0.20404319437468607,0.040321204921668304,0.00020404319437468608,0.010505050505050505,12,212448,0.8336263184329483,1289.644,24.800846153846155,0,0.0,0.010505050505050505,0,False,0.3,-1.1446052585779559e-15,13,0.13,2986.1387878787878,2986.1387878787878,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,uniform_random,singlehop,False,127754,254848,4900.923076923077,20292722,20303919,45152,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,127094
0.0,815.56096023333,density,24,20292722,288,15.0,5,0,1.0,0.01696969696969697,0.0,856.3390082449965,1.05,27,84,0.27999999999999997,0.07,0.00028,0.01696969696969697,12,249365,0.8312166666666667,1200.0,14.285714285714286,0,0.0,0.01696969696969697,0,False,0.23,-1.3720345222574333e-15,71,0.71,2976.2618181818184,2976.2618181818184,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,skyorbs_like_skip_scan,singlehop,False,150000,300000,3571.4285714285716,20292722,20319358,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,150000
0.0,815.56096023333,density,24,20292722,288,15.0,5,0,1.0,0.01818181818181818,0.0,856.3390082449965,1.05,16,90,0.30909565480197276,0.07571404655404343,0.00030909565480197274,0.01818181818181818,12,242229,0.8319103485225228,1188.683,13.207588888888889,0,0.0,0.01818181818181818,8828,False,0.09,-7.897263010003819e-16,78,0.78,2970.280808080808,2970.280808080808,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,improved_rl_no_isac,singlehop,False,134692,291172,3235.2444444444445,20292722,20312601,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,156480
0.0,815.56096023333,density,24,20292722,288,15.0,5,45198,0.08805132964771398,0.08702241365557949,10.357011915673693,856.3390082449965,1.05,1,4364,15.161358685645,3.002435350717852,0.015161358685645,0.8816161616161616,12,89578,0.31121085892362693,1453.4867499999998,0.33306295829514204,0,0.0,0.8816161616161616,12163,False,0.0,66.70953968039039,100,1.0,923.1331313131313,923.1331313131313,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,287837,improved_rl_isac,singlehop,False,138288,287837,65.95714940421631,20292722,20306944,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,149549
0.0,815.56096023333,density,24,20292722,288,15.0,5,33337,0.11598737768820769,0.11424243215712905,7.621627800640146,856.3390082449965,1.05,1,4374,15.182439186937689,3.2026499841844447,0.015182439186937688,0.8836363636363637,12,89635,0.31112892924580693,1365.744,0.31224142661179694,0,0.0,0.8836363636363637,11904,False,0.0,69.26920656341086,100,1.0,883.7224242424243,883.7224242424243,0.0,gauss_markov,9.1780368442142,100,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,288096,collision_aware_isac,singlehop,False,182904,288096,65.86556927297669,20292722,20314642,0,856.3390082449965,1.05,1.0,5.0,3000,10.0,10,4950,105192
