power_profile,beamwidth_deg,protocol,n,discovery_rate_mean,discoveries_per_joule_mean,discoveries_per_joule_std,energy_per_discovery_mean,energy_per_discovery_std,energy_j_mean,energy_j_std,discoveries_per_joule_ci95,energy_per_discovery_ci95,energy_j_ci95
sense_half,10.0,collision_aware_isac,10,0.36597979797979796,7.30273476811193,0.23701844401314515,0.13706667715238258,0.004509857659902373,248.0709,0.2554346567889406,0.14690555358792515,0.0027952387371759095,0.15832004052410303
sense_half,10.0,improved_rl_isac,10,0.36517171717171715,6.872804005996777,0.17521456358749207,0.14558586353414163,0.003699091791654325,263.009475,0.3089718265203704,0.10859911163310011,0.0022927208457894964,0.1915027221068503
sense_x2,10.0,ablation_isac_one_slot_delay,10,0.29517171717171714,4.175823789823765,0.14954521539697516,0.2397522145471745,0.008650426854963077,349.900125,0.32635666093843585,0.09268908479164488,0.005361590112496589,0.20227795411402133
sense_x2,10.0,collision_aware_isac,10,0.36597979797979796,5.41334741384337,0.1758950103720755,0.18490662668802266,0.006091082535157292,334.65389999999996,0.31344249428278953,0.10902085691960113,0.003775292068525257,0.19427367069391235
sense_x2,10.0,improved_rl_isac,10,0.36517171717171715,5.17054808203012,0.13173426720450804,0.19351574278777445,0.004914494121734117,349.59772499999997,0.3897754775722368,0.08164974473085566,0.0030460350145489687,0.2415853439007965
tx_x2,10.0,ablation_isac_one_slot_delay,10,0.29517171717171714,3.2950976426151923,0.11949161508415936,0.30384317442956876,0.011105561861811903,443.429925,0.8718879981110088,0.0740616703317829,0.006883298555128243,0.5404017799646931
tx_x2,10.0,collision_aware_isac,10,0.36597979797979796,4.637752135495722,0.14979379373482454,0.21582701976996285,0.0070663393065665955,390.6179,0.6553727756017794,0.09284315524166313,0.004379762477951751,0.406204254724138
tx_x2,10.0,improved_rl_isac,10,0.36517171717171715,4.081542034955106,0.10448186641549576,0.24514939147868292,0.006250613376196909,442.8762250000001,0.7535332740754571,0.06475853172345014,0.003874170308211838,0.46704476200526146
default,15.0,ablation_isac_one_slot_delay,10,0.5107474747474747,8.670301284102077,0.1840547101663177,0.1153832114530976,0.002458573574649177,291.59575,0.21566846985334728,0.1140782912487116,0.0015238396890347077,0.13367270250710778
default,15.0,collision_aware_isac,10,0.5646868686868687,10.156378847952954,0.18883581724979742,0.09849032881583508,0.0017954665635451768,275.21805,0.2507454386424689,0.1170416521204199,0.0011128417054817276,0.1554136330056073
default,15.0,improved_rl_isac,10,0.5421010101010101,9.2044696025448,0.09777025642297554,0.1086538765423666,0.00115131273364744,291.53247500000003,0.22349094096726396,0.06059863275220067,0.0007135910253462147,0.13852112033467462
idle_x4,15.0,ablation_isac_one_slot_delay,10,0.5107474747474747,8.61911957728839,0.18283665903067697,0.11606830883237126,0.002471468654153199,293.3272,0.20537110042283274,0.11332333533325645,0.001531832142115674,0.12729032681061886
idle_x4,15.0,collision_aware_isac,10,0.5646868686868687,10.092019503345288,0.18770558756560368,0.09911844736258578,0.0018075306926529332,276.9732,0.23418169584036277,0.11634112850450765,0.0011203191301712293,0.14514731885455978
idle_x4,15.0,improved_rl_isac,10,0.5421010101010101,9.149714003707029,0.09650832938007613,0.1093039507972706,0.0011500793846182453,293.27689999999996,0.20026119055983807,0.05981648226768213,0.0007128265876981009,0.12412317186479532
rx_x2,15.0,ablation_isac_one_slot_delay,10,0.5107474747474747,6.754639909670925,0.139774482840281,0.14810366402593175,0.00307616663022347,374.29045,0.22919232583623583,0.08663312201129217,0.00190662783068738,0.14205487528729627
rx_x2,15.0,collision_aware_isac,10,0.5646868686868687,7.313296021005944,0.13151036609588646,0.13677630844017727,0.0024136082193017177,382.20675,0.31384185242465534,0.081510969385975,0.0014959698730501341,0.19452119543467636
rx_x2,15.0,improved_rl_isac,10,0.5421010101010101,7.171599900815542,0.08048370471469317,0.13945466435879175,0.0015608788045391529,374.172875,0.3833272327413302,0.04988431699966508,0.0009674427060695999,0.23758868034788636
sense_half,15.0,ablation_isac_one_slot_delay,10,0.5107474747474747,9.622168234231204,0.204674609230621,0.10396917139405074,0.0022198534225375483,262.75005,0.20858294380039272,0.12685863709724238,0.0013758794058400061,0.12928104796053913
