active_count,belief_max,belief_mean,candidate_count,discovered_edges_before,method,node,positive_count,score_max,slot
,0.8048921823501587,0.32264184951782227,67,0,ours_marl,3,,1.0,10
,0.4085364043712616,0.34027189016342163,75,0,ours_marl,4,,1.0,10
,0.7228413820266724,0.3594219386577606,82,0,ours_marl,5,,1.0,10
,0.7228413820266724,0.331160306930542,66,0,ours_marl,6,,1.0,10
,0.4085364043712616,0.32507824897766113,66,0,ours_marl,7,,1.0,10
,0.701496958732605,0.3294733464717865,69,0,ours_marl,8,,1.0,10
,0.6710546612739563,0.36299464106559753,84,0,ours_marl,9,,1.0,10
,0.6874670386314392,0.3217568099498749,65,0,ours_marl,0,,1.0,11
,0.6978201270103455,0.30958038568496704,61,0,ours_marl,1,,1.0,11
,0.7083845734596252,0.3586353063583374,81,0,ours_marl,2,,1.0,11
,0.7887943387031555,0.3161889612674713,66,0,ours_marl,3,,1.0,11
,0.4003656804561615,0.33346644043922424,74,0,ours_marl,4,,1.0,11
,0.7301645278930664,0.3525336980819702,79,0,ours_marl,5,,1.0,11
,0.7083845734596252,0.324537068605423,66,0,ours_marl,6,,1.0,11
,0.4003656804561615,0.30830061435699463,63,0,ours_marl,7,,1.0,11
,0.7301645278930664,0.30924755334854126,61,0,ours_marl,8,,1.0,11
,0.6576336026191711,0.336860328912735,75,0,ours_marl,9,,1.0,11
,0.7265612483024597,0.3134665787220001,62,0,ours_marl,0,,1.0,12
,0.7265612483024597,0.29239070415496826,55,0,ours_marl,1,,1.0,12
,0.6942168474197388,0.35146260261535645,81,0,ours_marl,2,,1.0,12
,0.7730184197425842,0.2913683354854584,58,0,ours_marl,3,,1.0,12
,0.7265612483024597,0.32514488697052,70,0,ours_marl,4,,1.0,12
,0.7155612707138062,0.3292468190193176,73,0,ours_marl,5,,1.0,12
,0.8358051180839539,0.3162066638469696,63,0,ours_marl,6,,1.0,12
,0.39235836267471313,0.30213460326194763,62,0,ours_marl,7,,1.0,12
,0.7155612707138062,0.3030625879764557,62,0,ours_marl,8,,1.0,12
,0.6444809436798096,0.31162625551223755,66,0,ours_marl,9,,1.0,12
,0.7120300531387329,0.30719730257987976,61,0,ours_marl,0,,1.0,13
,0.7120300531387329,0.27395474910736084,51,0,ours_marl,1,,1.0,13
,0.6803325414657593,0.33040091395378113,78,0,ours_marl,2,,1.0,13
,0.7575581073760986,0.28554099798202515,57,0,ours_marl,3,,1.0,13
,0.7120300531387329,0.30655738711357117,64,0,ours_marl,4,,1.0,13
,0.7012500166893005,0.30675047636032104,66,0,ours_marl,5,,1.0,13
,0.9149864315986633,0.3076007664203644,62,0,ours_marl,6,,1.0,13
,0.38451120257377625,0.2960919737815857,62,0,ours_marl,7,,1.0,13
,0.7012500166893005,0.28713226318359375,58,0,ours_marl,8,,1.0,13
,0.7230300307273865,0.2999584972858429,61,0,ours_marl,9,,1.0,13
,0.6977894306182861,0.30105337500572205,61,0,ours_marl,0,,1.0,14
,0.6977894306182861,0.2528824806213379,44,0,ours_marl,1,,1.0,14
,0.6667258739471436,0.32379284501075745,78,0,ours_marl,2,,1.0,14
,0.7424069046974182,0.27778005599975586,51,0,ours_marl,3,,1.0,14
