episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
3,,407.5234375,49,20556.28515625,36.52650632592904,950,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,412.21484375,74,20552.91015625,36.53692761749614,975,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,416.734375,99,20581.11328125,36.44984228750244,1000,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,421.51171875,124,20547.625,36.55324707060992,1025,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,425.9453125,149,20541.234375,36.57297997917913,1050,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,430.73828125,174,20536.74609375,36.58683884956177,1075,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,435.6875,199,20532.4609375,36.6000705125816,1100,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,440.25,224,20565.5390625,36.497932205879856,1125,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,445.33203125,249,20560.19921875,36.51442052251439,1150,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,450.2109375,274,20550.3828125,36.54473152449143,1175,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,454.96484375,299,20517.5,36.646266747190445,1200,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,414.00390625,24,20609.671875,36.36165934462379,1225,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,413.81640625,49,20605.7421875,36.37379339475865,1250,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,413.93359375,74,20635.26171875,36.28264327858657,1275,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,415.68359375,99,20637.265625,36.2764556367186,1300,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,420.5546875,124,20607.0,36.36990953378108,1325,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,425.37890625,149,20593.76953125,36.41076244412578,1350,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,430.45703125,174,20586.4453125,36.43337809422802,1375,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,435.53515625,199,20581.02734375,36.45010764446365,1400,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,440.65234375,224,20610.90625,36.35784785372656,1425,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,445.4453125,249,20609.2265625,36.36303437615,1450,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,450.51171875,274,20604.01171875,36.3791367190228,1475,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,455.51953125,299,20573.98046875,36.471866915282014,1500,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.75390625,24,20564.7578125,36.50034454189076,1525,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.7578125,49,20584.30078125,36.43999995657795,1550,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.7578125,74,20583.1015625,36.44370289235469,1575,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.76171875,99,20556.22265625,36.52669931280991,1600,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.76171875,124,20553.0546875,36.53648133533412,1625,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.765625,149,20582.9296875,36.44423360627709,1650,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.76953125,174,20560.95703125,36.51208055658381,1675,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,451.76953125,199,20566.60546875,36.49463936722497,1700,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,456.046875,224,20548.203125,36.55146194196185,1725,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,460.90234375,249,20545.015625,36.56130427288634,1750,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,465.22265625,274,20572.8671875,36.47530449409756,1775,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,469.9140625,299,20569.8828125,36.48451961765922,1800,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,448.03125,24,20592.8828125,36.41350044549815,1825,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,448.03125,49,20562.6171875,36.50695434256064,1850,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,448.04296875,74,20570.21484375,36.48349437485459,1875,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,448.046875,99,20562.25390625,36.50807607880571,1900,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,448.046875,124,20561.96484375,36.50896864312975,1925,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,448.05078125,149,20592.48046875,36.41474279854376,1950,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,447.8046875,174,20594.07421875,36.40982163308152,1975,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,447.8046875,199,20563.609375,36.50389067582679,2000,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,449.55859375,224,20569.1484375,36.486787213509466,2025,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,454.171875,249,20557.19140625,36.52370801615638,2050,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,459.1796875,274,20547.75390625,36.55284903516812,2075,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
6,,463.75,299,20579.640625,36.454389540883,2100,train_n10_b10_isac_mappo_contention_shared_collision_topology_300slot,isac_mappo,contention_shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
