family,metric,beamwidth_deg,scenario_seed,treatment,control,expected_direction,treatment_value,control_value,delta
mechanism_empty_scan,empty_scan_ratio,15.0,20468707,contention_actor,contention_no_isac,negative,0.0207191624943104,0.8395921747895707,-0.8188730122952603
mechanism_empty_scan,empty_scan_ratio,15.0,20468708,contention_actor,contention_no_isac,negative,0.0209722172173975,0.8345083250774983,-0.8135361078601008
mechanism_empty_scan,empty_scan_ratio,15.0,20468709,contention_actor,contention_no_isac,negative,0.0204087156584111,0.83325208466966,-0.812843369011249
mechanism_empty_scan,empty_scan_ratio,15.0,20468710,contention_actor,contention_no_isac,negative,0.0225936525643018,0.8334490606797053,-0.8108554081154035
mechanism_empty_scan,empty_scan_ratio,15.0,20468711,contention_actor,contention_no_isac,negative,0.0220188993278824,0.8400664618713654,-0.818047562543483
mechanism_empty_scan,empty_scan_ratio,15.0,20468712,contention_actor,contention_no_isac,negative,0.0207641120406361,0.8395242110412389,-0.8187600990006028
mechanism_empty_scan,empty_scan_ratio,15.0,20468713,contention_actor,contention_no_isac,negative,0.0212688996599869,0.8380439372033215,-0.8167750375433346
mechanism_empty_scan,empty_scan_ratio,15.0,20468714,contention_actor,contention_no_isac,negative,0.0203013738042149,0.8409124488498031,-0.8206110750455882
topology_support,lambda2,10.0,20468205,contention_actor,uniform_random,positive,14.896451193796588,0.0,14.896451193796588
topology_support,lambda2,10.0,20468206,contention_actor,uniform_random,positive,17.156844533105062,0.0,17.156844533105062
topology_support,lambda2,10.0,20468207,contention_actor,uniform_random,positive,14.255702399273453,0.0,14.255702399273453
topology_support,lambda2,10.0,20468208,contention_actor,uniform_random,positive,14.486424972522393,-4.269312636048262e-16,14.486424972522393
topology_support,lambda2,10.0,20468209,contention_actor,uniform_random,positive,12.632034646945543,0.0,12.632034646945543
topology_support,lambda2,10.0,20468210,contention_actor,uniform_random,positive,15.652777478681958,0.0,15.652777478681958
topology_support,lambda2,10.0,20468211,contention_actor,uniform_random,positive,11.604579297782012,0.0,11.604579297782012
topology_support,lambda2,10.0,20468212,contention_actor,uniform_random,positive,13.25873949411516,-6.330167538869962e-16,13.25873949411516
topology_support,lambda2,10.0,20468213,contention_actor,uniform_random,positive,15.489932875917368,-7.078830336701684e-16,15.489932875917368
topology_support,lambda2,10.0,20468214,contention_actor,uniform_random,positive,14.380881410627772,0.0,14.380881410627772
topology_support,lambda2,10.0,20468205,contention_actor,skyorbs_like,positive,14.896451193796588,-8.706882657193494e-16,14.896451193796588
topology_support,lambda2,10.0,20468206,contention_actor,skyorbs_like,positive,17.156844533105062,-6.612591630995774e-16,17.156844533105062
topology_support,lambda2,10.0,20468207,contention_actor,skyorbs_like,positive,14.255702399273453,-1.124378379828417e-16,14.255702399273453
topology_support,lambda2,10.0,20468208,contention_actor,skyorbs_like,positive,14.486424972522393,0.0,14.486424972522393
topology_support,lambda2,10.0,20468209,contention_actor,skyorbs_like,positive,12.632034646945543,0.0,12.632034646945543
topology_support,lambda2,10.0,20468210,contention_actor,skyorbs_like,positive,15.652777478681958,0.0,15.652777478681958
topology_support,lambda2,10.0,20468211,contention_actor,skyorbs_like,positive,11.604579297782012,-5.800985931909989e-16,11.604579297782012
topology_support,lambda2,10.0,20468212,contention_actor,skyorbs_like,positive,13.25873949411516,0.0,13.25873949411516
topology_support,lambda2,10.0,20468213,contention_actor,skyorbs_like,positive,15.489932875917368,-6.730744886867639e-16,15.489932875917368
topology_support,lambda2,10.0,20468214,contention_actor,skyorbs_like,positive,14.380881410627772,-9.190343701548917e-16,14.380881410627774
