block,source,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,n_positive,n_negative,n_zero,filters_json,pair_cols,note
round10_extra_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,discovery_rate,3,0.4181144781144781,0.004511784511784467,0.4136026936026937,0.01708753379442828,0.39393939393939403,0.4248484848484848,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=15 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,empty_scan_ratio,3,0.5176799653017802,0.8375595972564338,-0.3198796319546536,0.0047314514029983615,-0.32441524029994395,-0.31497405882272966,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=15 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,lambda2,3,21.995707133018346,-3.20635297921184e-16,21.995707133018346,3.984707674162242,17.436409656352723,24.811546264756632,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=15 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,mean_discovery_delay,3,462.8337373737374,598.6448484848485,-135.81111111111113,4.113273860918195,-139.09414141414146,-131.19717171717173,0,3,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=15 comparison; used to check scenario-seed sensitivity, not to replace the main table."
round10_extra_n100_b15_vs_enhanced_no_isac,06_analysis/paper_tables/round10_n100_b10_b15_extra_seeds/per_episode_summary.csv,improved_rl_isac,improved_rl_no_isac,collision_count,3,2096.6666666666665,0.0,2096.6666666666665,114.0014619789296,1977.0,2204.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 15.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model","Backup extra-seed N=100/B=15 comparison; used to check scenario-seed sensitivity, not to replace the main table."
ablation_b10_candidate_set,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_no_candidate_set,discovery_rate,3,0.3654545454545454,0.031313131313131265,0.33414141414141413,0.00651182281264093,0.3296969696969697,0.3416161616161617,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mechanism check: full ISAC-assisted protocol minus candidate-set removal.
ablation_b10_candidate_set,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_no_candidate_set,collision_penalized_discovery_rate,3,0.3014976186229031,0.03129210154383156,0.27020551707907153,0.004863110701934962,0.2663165526286204,0.2756581059626842,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mechanism check: full ISAC-assisted protocol minus candidate-set removal.
ablation_b10_candidate_set,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_no_candidate_set,empty_scan_ratio,3,0.49857967323108227,0.4984931877887974,8.64854422848449e-05,0.004094398777242304,-0.0038197559026945105,0.004346131697369193,1,2,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mechanism check: full ISAC-assisted protocol minus candidate-set removal.
ablation_b10_candidate_set,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_no_candidate_set,lambda2,3,12.922207974007792,-9.242429476708334e-16,12.922207974007792,2.3279520234363056,10.791232168390762,15.406698065090632,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mechanism check: full ISAC-assisted protocol minus candidate-set removal.
ablation_b10_candidate_set,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_no_candidate_set,collision_count,3,1050.0,3.3333333333333335,1046.6666666666667,23.544284515213736,1024.0,1071.0,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Mechanism check: full ISAC-assisted protocol minus candidate-set removal.
ablation_b10_one_slot_boundary,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_one_slot_delay,discovery_rate,3,0.3654545454545454,0.29892255892255887,0.06653198653198655,0.008633458861334148,0.0565656565656566,0.07171717171717173,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: low-latency candidate use minus one-slot delayed use.
ablation_b10_one_slot_boundary,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_one_slot_delay,collision_penalized_discovery_rate,3,0.3014976186229031,0.2620057186381931,0.03949189998471,0.007885043593018897,0.030387366450596975,0.04411135535546512,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: low-latency candidate use minus one-slot delayed use.
ablation_b10_one_slot_boundary,06_analysis/paper_tables/round4_delay_ablation/per_episode_summary.csv,improved_rl_isac,ablation_isac_one_slot_delay,empty_scan_ratio,3,0.49857967323108227,0.4946940928579415,0.00388558037314074,0.0005147727105485167,0.00344677210230232,0.004452225663390874,3,0,0,"{""area_scale"": ""density"", ""beamwidth_deg"": 10.0, ""mobility_model"": ""gauss_markov"", ""node_count"": 100}","scenario_seed,node_count,beamwidth_deg,area_scale,mobility_model",Implementation-boundary check: low-latency candidate use minus one-slot delayed use.
