evidence_block,evidence_tier,source_csv,n_episodes,protocol,node_count,beamwidth_deg,area_scale,mobility_model,range_mode,communication_range_to_diagonal_ratio,sensing_to_comm_range_ratio,false_alarm_rate,miss_detection_rate,angular_cell_offset_std,slot_duration_ms,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,collision_count_mean,collision_count_std,collision_count_ci95,mean_discovery_delay_mean,mean_discovery_delay_std,mean_discovery_delay_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,discovery_per_scan_action_mean,discovery_per_scan_action_std,discovery_per_scan_action_ci95
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,15.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.00363636,4.33681e-19,4.90756e-19,0.8346,0.00216391,0.00244869,-5.73019e-16,4.05206e-16,4.58534e-16,0,0,0,598.863,0.130917,0.148147,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,30.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0435017,0.00620772,0.00702469,0.666803,0.0037919,0.00429094,0.334843,0.236826,0.267994,15,6.16441,6.97569,586.494,1.22725,1.38876,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,5.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0,0,0,0.96684,8.31695e-05,9.41152e-05,0,0,0,0,0,0,600,0,0,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,rl_no_isac,100,10.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.000673401,0.000415112,0.000469744,0.90108,0.000946508,0.00107107,0,0,0,0,0,0,599.792,0.0824852,0.0933408,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,rl_no_isac,100,15.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.003367,9.52332e-05,0.000107767,0.834678,0.00174341,0.00197285,-7.26437e-16,1.21486e-16,1.37475e-16,0,0,0,598.938,0.0738841,0.0836077,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,rl_no_isac,100,30.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0437037,0.0038129,0.0043147,0.66136,0.00338919,0.00383523,6.59512e-15,7.1917e-15,8.13817e-15,10.3333,5.31246,6.01161,586.771,1.46151,1.65386,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,rl_no_isac,100,5.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0,0,0,0.967374,8.7523e-05,9.90416e-05,0,0,0,0,0,0,600,0,0,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,skyorbs_like_skip_scan,100,10.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.000538721,0.000251963,0.000285123,0.901883,0.000730804,0.000826982,0,0,0,0,0,0,599.854,0.0953042,0.107847,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,skyorbs_like_skip_scan,100,15.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.003367,9.52332e-05,0.000107767,0.833428,0.000800154,0.00090546,-6.61386e-16,1.92145e-16,2.17432e-16,0,0,0,598.892,0.116077,0.131354,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,skyorbs_like_skip_scan,100,30.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0504377,0.00201571,0.00228099,0.66195,0.00405773,0.00459176,3.77378e-15,2.27285e-15,2.57197e-15,20.6667,3.09121,3.49803,584.38,0.936243,1.05946,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,skyorbs_like_skip_scan,100,5.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,6.73401e-05,9.52332e-05,0.000107767,0.966433,0.000440328,0.000498278,0,0,0,0,0,0,599.983,0.0244749,0.027696,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,uniform_random,100,10.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.000538721,0.000190466,0.000215533,0.901231,0.00133584,0.00151165,0,0,0,0,0,0,599.869,0.0887437,0.100423,,,,,,
