beamwidth_deg,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,delta_ci95,positive_pairs,negative_pairs,zero_pairs
10.0,collision_aware_isac,uniform_random,lambda2,10,12.932241686790974,0.0,12.932241686790974,3.422467977108038,2.121267629223481,10,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_count,10,6329.2,6498.6,-169.4,200.26327116517842,124.12446143734567,2,8,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_penalized_discovery_rate,10,0.24793742343805025,0.2209134441362543,0.027023979301795897,0.0053650403645458845,0.0033252864689781933,10,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,discoveries_per_joule,10,10.156378847952954,8.670301284102077,1.4860775638508774,0.20907160163574084,0.1295839212247519,10,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,discovery_rate,10,0.5646868686868688,0.5107474747474747,0.05393939393939393,0.011827339205441151,0.007330660787525635,10,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,energy_j,10,275.21805,291.59574999999995,-16.377699999999994,0.25716479800573505,0.15939239316018894,0,10,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10,0.09849032881583505,0.11538321145309756,-0.016892882637262522,0.002457805798683932,0.0015233638165612576,0,10,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,lambda2,10,27.765230308809322,23.912176599018956,3.8530537097903617,3.5858339677008555,2.222522919230138,9,1,0
15.0,collision_aware_isac,improved_rl_isac,collision_count,10,6329.2,8360.9,-2031.7,170.5800887169035,105.72663434852481,0,10,0
15.0,collision_aware_isac,improved_rl_isac,collision_penalized_discovery_rate,10,0.24793742343805025,0.2017342555132317,0.046203167924818475,0.002465519476334443,0.0015281448035016,10,0,0
15.0,collision_aware_isac,improved_rl_isac,discoveries_per_joule,10,10.156378847952954,9.204469602544801,0.9519092454081555,0.21049047442319124,0.13046334768955345,10,0,0
15.0,collision_aware_isac,improved_rl_isac,discovery_rate,10,0.5646868686868688,0.5421010101010101,0.022585858585858588,0.011781163545509824,0.0073020408169881396,10,0,0
15.0,collision_aware_isac,improved_rl_isac,energy_j,10,275.21805,291.532475,-16.314425,0.33099586792485175,0.2051533643943732,0,10,0
15.0,collision_aware_isac,improved_rl_isac,energy_per_discovery_censored_j,10,0.09849032881583505,0.10865387654236658,-0.010163547726531512,0.002101833423842876,0.0013027298527962545,0,10,0
15.0,collision_aware_isac,improved_rl_isac,lambda2,10,27.765230308809322,27.045252709710127,0.7199775990991935,3.7309198408992255,2.3124480750918983,5,5,0
15.0,collision_aware_isac,improved_rl_no_isac,collision_count,10,6329.2,0.0,6329.2,334.3191422711073,207.21315117423302,10,0,0
15.0,collision_aware_isac,improved_rl_no_isac,collision_penalized_discovery_rate,10,0.24793742343805025,0.0035353535353535,0.2444020699026967,0.005710942523342868,0.0035396788481742657,10,0,0
15.0,collision_aware_isac,improved_rl_no_isac,discoveries_per_joule,10,10.156378847952954,0.07300262756603548,10.083376220386919,0.19705966104589587,0.12213884331377473,10,0,0
15.0,collision_aware_isac,improved_rl_no_isac,discovery_rate,10,0.5646868686868688,0.0035353535353535,0.5611515151515152,0.010660190020949367,0.006607254228254021,10,0,0
15.0,collision_aware_isac,improved_rl_no_isac,energy_j,10,275.21805,239.71359999999999,35.504450000000006,0.38033577635792476,0.2357345564721346,10,0,0
15.0,collision_aware_isac,improved_rl_no_isac,energy_per_discovery_censored_j,10,0.09849032881583505,14.34842523133815,-14.249934902522316,3.736624831601072,2.3159840649628904,0,10,0
15.0,collision_aware_isac,improved_rl_no_isac,lambda2,10,27.765230308809322,-3.4005091612201684e-16,27.765230308809322,3.117224795900862,1.9320759454248453,10,0,0
15.0,collision_aware_isac,uniform_random,collision_count,10,6329.2,0.0,6329.2,334.3191422711073,207.21315117423302,10,0,0
15.0,collision_aware_isac,uniform_random,collision_penalized_discovery_rate,10,0.24793742343805025,0.0026868686868686603,0.24525055475118154,0.005803221498622766,0.003596873949612313,10,0,0
