action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
wang2025_isac_tables,6,654,0.06437768240343347,0.06437768240343347,14.533333333333333,1,45,3.75,4.9504950495049505,0.00375,1.0,6491,0.5409166666666667,9.09,0.20199999999999999,wang2025_isac_tables,0,0,0.0,9.999999999999993,10,1.0,0,32.77777777777778,0.8915354975584497,-0.8507467654958385,rf_probe,Wang sensing-table RF=6,gauss_markov,6.855367602370727,10,90.0,92.8,141.20000000000005,1030,wang2025_isac_tables_rf6,6,970,12000,266.6666666666667,21216708,21216708,0,0.8350730688935282,0.0089835499895886,0.1649269311064718,33617,6227,200,45,1030
wang2025_isac_tables,6,563,0.07248764415156507,0.07236842105263158,12.795454545454545,1,44,3.6666666666666665,4.9052396878483835,0.0036666666666666666,0.9777777777777777,6488,0.5406666666666666,8.97,0.20386363636363639,wang2025_isac_tables,1,0,0.0,8.000000000000002,10,1.0,0,43.06666666666667,0.816757818223295,-2.538054689969705,rf_probe,Wang sensing-table RF=6,gauss_markov,8.60823316006692,10,128.6,158.19999999999993,193.84000000000003,990,wang2025_isac_tables_rf6,6,1010,12000,272.72727272727275,21216709,21216709,0,0.7646210543182183,0.009371872251372418,0.23537894568178178,32971,6241,200,45,990
wang2025_isac_tables,6,996,0.04230769230769231,0.04226705091258405,22.636363636363637,1,44,3.6666666666666665,4.888888888888889,0.0036666666666666666,0.9777777777777777,6475,0.5395833333333333,9.0,0.20454545454545456,wang2025_isac_tables,2,0,0.0,7.999999999999995,10,1.0,0,33.17777777777778,0.9226069805761196,1.8412167030566036,rf_probe,Wang sensing-table RF=6,gauss_markov,7.574269104208225,10,64.6,76.19999999999999,168.76000000000016,1000,wang2025_isac_tables_rf6,6,1000,12000,272.72727272727275,21216710,21216710,0,0.8628287135749823,0.009271605321095227,0.13717128642501777,32249,5628,200,45,1000
wang2025_isac_tables,6,693,0.05970149253731343,0.05962059620596206,15.75,1,44,3.6666666666666665,4.992058089403223,0.0036666666666666666,0.9777777777777777,6011,0.5009166666666667,8.813999999999998,0.20031818181818178,wang2025_isac_tables,3,0,0.0,7.999999999999998,10,1.0,0,36.06666666666667,0.9435768019573465,2.9263435567414335,rf_probe,Wang sensing-table RF=6,gauss_markov,7.975010162488394,10,70.00000000000003,98.39999999999998,164.36000000000018,938,wang2025_isac_tables_rf6,6,1062,12000,272.72727272727275,21216711,21216711,0,0.877466251298027,0.007587405575238987,0.122533748701973,29918,5778,200,45,938
wang2025_isac_tables,6,488,0.07924528301886792,0.07879924953095685,11.619047619047619,1,42,3.5,4.657351962741184,0.0035,0.9333333333333333,6526,0.5438333333333333,9.018,0.21471428571428572,wang2025_isac_tables,4,0,0.0,7.000000000000001,10,1.0,0,41.71111111111111,0.7333571277088229,-4.852902620506491,rf_probe,Wang sensing-table RF=6,gauss_markov,7.697542604090316,10,94.60000000000007,192.7999999999999,200.0,1006,wang2025_isac_tables_rf6,6,994,12000,285.7142857142857,21216712,21216712,0,0.6840341255332114,0.008233286428550044,0.31596587446678853,33401,6564,200,45,1006
wang2025_isac_tables,6,723,0.05859375,0.05859375,16.066666666666666,1,45,3.75,4.937458854509546,0.00375,1.0,6440,0.5366666666666666,9.113999999999999,0.20253333333333332,wang2025_isac_tables,5,0,0.0,9.999999999999993,10,1.0,0,33.13333333333333,0.8177569609934923,-2.4521250088014233,rf_probe,Wang sensing-table RF=6,gauss_markov,6.114850132436439,10,60.000000000000014,117.79999999999988,137.48000000000002,1038,wang2025_isac_tables_rf6,6,962,12000,266.6666666666667,21216713,21216713,0,0.7711163153786105,0.008086863088842391,0.22888368462138953,35366,6405,200,45,1038
wang2025_isac_tables,6,833,0.05125284738041002,0.05125284738041002,18.511111111111113,1,45,3.75,5.026809651474531,0.00375,1.0,7001,0.5834166666666667,8.952,0.19893333333333332,wang2025_isac_tables,6,0,0.0,9.999999999999993,10,1.0,0,31.377777777777776,0.71775809337702,-1.7133862114638947,rf_probe,Wang sensing-table RF=6,gauss_markov,7.950606117959518,10,65.2,74.79999999999998,142.0400000000002,984,wang2025_isac_tables_rf6,6,1016,12000,266.6666666666667,21216714,21216714,0,0.6952450890398384,0.0088498248157545,0.30475491096016155,33108,5447,200,45,984
wang2025_isac_tables,6,433,0.08842105263157894,0.08786610878661087,10.30952380952381,1,42,3.5,4.643449419568823,0.0035,0.9333333333333333,6989,0.5824166666666667,9.045,0.21535714285714286,wang2025_isac_tables,7,0,0.0,7.999999999999992,10,1.0,0,49.6,0.868535262461018,-0.390283663059716,rf_probe,Wang sensing-table RF=6,gauss_markov,9.156097559349503,10,145.20000000000005,199.6,200.0,1015,wang2025_isac_tables_rf6,6,985,12000,285.7142857142857,21216715,21216715,0,0.801747311827957,0.008888489854551984,0.198252688172043,33414,5952,200,45,1015
wang2025_isac_tables,6,566,0.07213114754098361,0.07201309328968904,12.863636363636363,1,44,3.6666666666666665,4.908522980812138,0.0036666666666666666,0.9777777777777777,6820,0.5683333333333334,8.963999999999999,0.2037272727272727,wang2025_isac_tables,8,0,0.0,8.000000000000005,10,1.0,0,36.28888888888889,0.8114059367188181,-1.8919755688716442,rf_probe,Wang sensing-table RF=6,gauss_markov,7.088225191508103,10,82.20000000000002,138.39999999999986,194.72000000000003,988,wang2025_isac_tables_rf6,6,1012,12000,272.72727272727275,21216716,21216716,0,0.7687510826260177,0.008008097407043554,0.23124891737398234,33591,5773,200,45,988
wang2025_isac_tables,6,499,0.08103130755064457,0.08088235294117647,11.340909090909092,1,44,3.6666666666666665,4.861341288255441,0.0036666666666666666,0.9777777777777777,6167,0.5139166666666667,9.051,0.20570454545454545,wang2025_isac_tables,9,0,0.0,7.9999999999999964,10,1.0,0,41.44444444444444,0.7397750374150323,-4.697569778202302,rf_probe,Wang sensing-table RF=6,gauss_markov,7.86899457896633,10,95.80000000000004,117.8,178.0000000000001,1017,wang2025_isac_tables_rf6,6,983,12000,272.72727272727275,21216717,21216717,0,0.6870087180220095,0.008313235919988652,0.3129912819779906,35245,6997,200,45,1017
