collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
300,-231.0,69,0.12173913043478261,0.2466819221967963,0.3684210526315789,wang2025_isac_tables,0.9333333333333333,0.0,0.9333333333333333,4,7.999999999999998,-3.552713678800501e-15,7.999999999999995,10,1,budgeted_collision_aware_isac
233,-164.0,69,0.1474820143884892,0.22093903824308972,0.3684210526315789,improved_rl_isac,0.9111111111111111,0.022222222222222254,0.9333333333333333,4,7.000000000000003,0.999999999999992,7.999999999999995,10,1,budgeted_collision_aware_isac
0,69.0,69,0.0,0.3684210526315789,0.3684210526315789,uniform_random,0.0,0.9333333333333333,0.9333333333333333,4,0.0,7.999999999999995,7.999999999999995,10,1,budgeted_collision_aware_isac
766,-300.0,466,0.14853556485355648,0.08622053270741911,0.2347560975609756,wang2025_isac_no_collab,0.7473684210526316,0.06315789473684208,0.8105263157894737,0,10.070524526972244,-0.3902529545000686,9.680271572472176,20,1,budgeted_collision_aware_isac
1136,-670.0,466,0.1138763197586727,0.1208797778023029,0.2347560975609756,wang2025_comm_tables,0.7947368421052632,0.015789473684210464,0.8105263157894737,0,11.172895036298321,-1.4926234638261455,9.680271572472176,20,1,budgeted_collision_aware_isac
1316,-850.0,466,0.10690571049136786,0.12785038706960772,0.2347560975609756,wang2025_isac_tables,0.8473684210526315,-0.0368421052631579,0.8105263157894737,0,11.958104878522638,-2.2778333060504625,9.680271572472176,20,1,budgeted_collision_aware_isac
1683,-1217.0,466,0.07901761879337961,0.155738478767596,0.2347560975609756,improved_rl_isac,0.7789473684210526,0.03157894736842104,0.8105263157894737,0,11.374015219682692,-1.6937436472105158,9.680271572472176,20,1,budgeted_collision_aware_isac
0,466.0,466,0.0,0.2347560975609756,0.2347560975609756,uniform_random,0.0,0.8105263157894737,0.8105263157894737,0,0.0,9.680271572472176,9.680271572472176,20,1,budgeted_collision_aware_isac
485,-164.0,321,0.18962962962962962,0.10195549757193592,0.29158512720156554,wang2025_isac_no_collab,0.6736842105263158,0.1105263157894737,0.7842105263157895,1,6.578010006400115,4.231011791968626,10.809021798368741,20,1,budgeted_collision_aware_isac
1072,-751.0,321,0.12282091917591126,0.16876420802565428,0.29158512720156554,wang2025_comm_tables,0.8157894736842105,-0.03157894736842104,0.7842105263157895,1,11.65038028611079,-0.841358487742049,10.809021798368741,20,1,budgeted_collision_aware_isac
1059,-738.0,321,0.1176941553242594,0.17389097187730612,0.29158512720156554,wang2025_isac_tables,0.7736842105263158,0.010526315789473717,0.7842105263157895,1,10.040992892573795,0.7680289057949459,10.809021798368741,20,1,budgeted_collision_aware_isac
1596,-1275.0,321,0.0856662933930571,0.20591883380850845,0.29158512720156554,improved_rl_isac,0.8052631578947368,-0.021052631578947323,0.7842105263157895,1,12.143302137250366,-1.3342803388816247,10.809021798368741,20,1,budgeted_collision_aware_isac
0,321.0,321,0.010526315789473684,0.2810588114120919,0.29158512720156554,uniform_random,0.010526315789473684,0.7736842105263158,0.7842105263157895,1,0.0,10.809021798368741,10.809021798368741,20,1,budgeted_collision_aware_isac
375,-135.0,240,0.26548672566371684,0.09032722782465524,0.3558139534883721,wang2025_isac_no_collab,0.7894736842105263,0.015789473684210464,0.8052631578947368,2,9.325088900881376,2.8470078032026738,12.17209670408405,20,1,budgeted_collision_aware_isac
770,-530.0,240,0.1625,0.19331395348837208,0.3558139534883721,wang2025_comm_tables,0.8210526315789474,-0.015789473684210575,0.8052631578947368,2,11.520345317068715,0.6517513870153344,12.17209670408405,20,1,budgeted_collision_aware_isac
810,-570.0,240,0.156,0.19981395348837208,0.3558139534883721,wang2025_isac_tables,0.8210526315789474,-0.015789473684210575,0.8052631578947368,2,11.393167410062162,0.7789292940218875,12.17209670408405,20,1,budgeted_collision_aware_isac
