protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,20,10,10,48.1,5.25885,47.5,41,58,3.25947,10,48.2,5.26624,47.5,41,58,3.26405,10,18.1,2.72641,18.5,13,22,1.68985,10,1.1,0.994429,1,0,3,0.616353,10,0.183484,0.0344478,0.186978,0.114754,0.219512,0.021351,10,10.3,7.36433,8.5,2,28,4.56446,10,0.975,0.0402538,1,0.916667,1,0.0249496,10,0.401538,0.391981,0.357997,-4.42683e-16,0.936449,0.242952
improved_rl_isac,21,10,10,48.2,5.26624,47.5,41,58,3.26405,10,48.3,5.29255,47.5,41,58,3.28036,10,19.1,2.46982,19,14,23,1.53081,10,1,0.816497,1,0,2,0.50607,10,0.178788,0.0330267,0.180899,0.117188,0.21875,0.0204702,10,10.6,7.13676,8.5,2,28,4.42341,10,0.983333,0.0351364,1,0.916667,1,0.0217778,10,0.535326,0.371029,0.60088,-1.46421e-16,1.02298,0.229966
improved_rl_isac,22,10,10,48.3,5.12185,47.5,42,58,3.17455,10,48.4,5.14674,47.5,42,58,3.18998,10,20,2.26078,20,17,23,1.40124,10,0.9,1.1005,0.5,0,3,0.6821,10,0.17498,0.0329566,0.180238,0.115672,0.216418,0.0204267,10,12.6,7.80598,10.5,5,31,4.8382,10,0.983333,0.0351364,1,0.916667,1,0.0217778,10,0.585103,0.417056,0.64063,-1.46421e-16,1.28423,0.258494
improved_rl_isac,23,10,10,48.4,5.10338,48,42,58,3.16311,10,48.5,5.12619,48,42,58,3.17724,10,20.6,2.36643,20,17,24,1.46673,10,0.6,0.516398,1,0,1,0.320067,10,0.171312,0.0335222,0.173159,0.110714,0.217857,0.0207773,10,13.4,7.51591,10.5,6,31,4.65841,10,0.983333,0.0351364,1,0.916667,1,0.0217778,10,0.614925,0.452154,0.64063,3.89265e-16,1.36839,0.280248
improved_rl_isac,24,10,10,48.4,5.10338,48,42,58,3.16311,10,48.5,5.12619,48,42,58,3.17724,10,21.5,2.71825,21,18,26,1.68479,10,0.9,0.994429,1,0,3,0.616353,10,0.167905,0.0340104,0.171496,0.106529,0.222603,0.0210798,10,14.3,7.94495,11,6,33,4.92433,10,0.983333,0.0351364,1,0.916667,1,0.0217778,10,0.688614,0.538464,0.720767,3.6232e-16,1.50383,0.333744
improved_rl_isac,25,10,10,48.4,5.10338,48,42,58,3.16311,10,48.5,5.12619,48,42,58,3.17724,10,22.3,2.40601,21.5,20,27,1.49126,10,0.8,0.918937,1,0,3,0.569563,10,0.163647,0.0338037,0.169942,0.10231,0.217105,0.0209518,10,14.9,8.2253,11.5,6,33,5.09809,10,0.983333,0.0351364,1,0.916667,1,0.0217778,10,0.737491,0.563563,0.753464,7.5931e-20,1.67817,0.3493
improved_rl_isac,26,10,10,48.5,4.97214,48,42,58,3.08177,10,48.6,4.99333,48,42,58,3.0949,10,23.2,2.65832,23.5,20,27,1.64764,10,0.9,0.875595,1,0,2,0.542699,10,0.161677,0.0341898,0.165859,0.101587,0.215873,0.0211911,10,16,8.34,13.5,6,35,5.16918,10,0.991667,0.0263523,1,0.916667,1,0.0163333,10,0.873006,0.526902,0.892244,-4.267e-16,1.67817,0.326577
improved_rl_isac,27,10,10,48.8,4.93964,48.5,42,58,3.06162,10,48.9,4.95424,48.5,42,58,3.07067,10,23.7,2.98329,24,20,29,1.84906,10,0.5,0.849837,0,0,2,0.526734,10,0.158318,0.0335745,0.164351,0.0978593,0.208589,0.0208097,10,16.8,8.0526,14.5,8,35,4.99106,10,0.991667,0.0263523,1,0.916667,1,0.0163333,10,0.940114,0.603109,0.892244,-4.267e-16,2.05947,0.373811
improved_rl_isac,28,10,10,48.8,4.93964,48.5,42,58,3.06162,10,48.9,4.95424,48.5,42,58,3.07067,10,24.5,3.24037,24.5,21,31,2.0084,10,0.8,0.632456,1,0,2,0.392,10,0.155162,0.0327671,0.158508,0.0973451,0.204142,0.0203093,10,17.6,8.08565,14.5,8,35,5.01154,10,0.991667,0.0263523,1,0.916667,1,0.0163333,10,0.981375,0.644556,0.902522,1.26265e-15,2.25971,0.3995
improved_rl_isac,29,10,10,49,4.94413,48.5,42,58,3.0644,10,49.1,4.95424,48.5,42,58,3.07067,10,25.8,4.28952,24.5,21,35,2.65867,10,1.3,1.41814,1,0,4,0.87897,10,0.152594,0.0313245,0.154958,0.0940171,0.197708,0.0194151,10,18.6,7.6478,17,8,35,4.74016,10,1,0,1,1,1,0,10,1.24391,0.654284,0.998711,0.57823,2.79807,0.40553
improved_rl_isac,30,10,10,49.1,4.95424,48.5,42,58,3.07067,10,49.2,4.98442,48.5,42,58,3.08938,10,26.4,4.22164,25,21,35,2.6166,10,0.6,0.699206,0.5,0,2,0.433372,10,0.150074,0.0323697,0.151389,0.0909091,0.199446,0.020063,10,18.8,8.13497,17,8,37,5.04211,10,1,0,1,1,1,0,10,1.31807,0.653999,1.14405,0.57823,2.79807,0.405353
improved_rl_isac,31,10,10,49.2,4.93964,49,42,58,3.06162,10,49.3,4.96767,49,42,58,3.079,10,27.1,4.25441,26,22,36,2.63691,10,0.7,0.674949,1,0,2,0.418337,10,0.149076,0.0320437,0.149407,0.096,0.198391,0.0198609,10,19.2,8.61265,17,8,39,5.33818,10,1,0,1,1,1,0,10,1.33056,0.657284,1.15467,0.57823,2.81176,0.407389
improved_rl_isac,32,10,10,49.4,4.97103,49,42,58,3.08107,10,49.5,4.99444,49,42,58,3.09559,10,27.9,4.12176,27,22,37,2.55469,10,0.8,0.788811,1,0,2,0.48891,10,0.147926,0.0327817,0.150312,0.0930233,0.197403,0.0203183,10,20.2,8.72799,18,11,41,5.40966,10,1,0,1,1,1,0,10,1.44745,0.629402,1.33394,0.824427,2.91899,0.390108
improved_rl_isac,33,10,10,49.5,4.83621,49,42,58,2.99751,10,49.6,4.85798,49,42,58,3.01101,10,28.7,4.64399,27.5,22,39,2.87838,10,0.8,1.13529,0,0,3,0.703662,10,0.145868,0.0329282,0.148272,0.0927318,0.19697,0.0204091,10,21,8.61523,20,11,41,5.33978,10,1,0,1,1,1,0,10,1.53173,0.688176,1.33394,0.87267,2.92555,0.426536
improved_rl_isac,34,10,10,49.4,4.71876,49,42,58,2.92472,10,49.6,4.85798,49,42,58,3.01101,10,29.1,4.50802,27.5,23,39,2.7941,10,0.4,0.516398,0,0,1,0.320067,10,0.143803,0.0335689,0.145124,0.0902439,0.193627,0.0208062,10,21.2,8.7661,20,11,41,5.43328,10,1,0,1,1,1,0,10,1.55527,0.677974,1.33394,0.894189,2.92555,0.420213
improved_rl_isac,35,10,10,49.8,4.63801,49,42,59,2.87467,10,50,4.76095,49,42,59,2.95087,10,29.6,4.35125,28.5,24,39,2.69693,10,0.5,0.707107,0,0,2,0.438269,10,0.141578,0.0338442,0.144929,0.0876777,0.188544,0.0209768,10,21.6,9.45398,20,11,43,5.85964,10,1,0,1,1,1,0,10,1.57934,0.667714,1.3719,0.894189,2.92555,0.413853
improved_rl_isac,36,10,10,49.8,4.63801,49,42,59,2.87467,10,50,4.76095,49,42,59,2.95087,10,30.1,4.72464,29,24,41,2.92836,10,0.5,0.849837,0,0,2,0.526734,10,0.141124,0.0331331,0.146701,0.0875576,0.187935,0.0205361,10,22.4,9.59398,21,12,45,5.94641,10,1,0,1,1,1,0,10,1.5831,0.66733,1.3719,0.894189,2.93266,0.413616
improved_rl_isac,37,10,10,49.9,4.58136,49,42,59,2.83956,10,50.1,4.70106,49,42,59,2.91375,10,30.5,4.42844,29.5,25,41,2.74478,10,0.4,0.516398,0,0,1,0.320067,10,0.139489,0.032376,0.145356,0.0874439,0.187359,0.0200669,10,22.8,10.3043,21,12,47,6.38665,10,1,0,1,1,1,0,10,1.61256,0.659845,1.46093,0.894189,2.93266,0.408976
improved_rl_isac,38,10,10,50.1,4.58136,49.5,42,59,2.83956,10,50.3,4.6916,50,42,59,2.90788,10,31.2,4.39191,30.5,26,42,2.72214,10,0.7,0.674949,1,0,2,0.418337,10,0.137716,0.0316941,0.143661,0.0853392,0.185022,0.0196442,10,23.6,10.8955,22.5,12,49,6.75308,10,1,0,1,1,1,0,10,1.74838,0.675075,1.69244,0.894189,2.93268,0.418416
improved_rl_isac,39,10,10,50.2,4.58984,50,42,59,2.84481,10,50.4,4.71876,50,42,59,2.92472,10,31.8,4.39191,30.5,26,42,2.72214,10,0.6,0.699206,0.5,0,2,0.433372,10,0.135571,0.0312083,0.140037,0.0831557,0.184946,0.0193431,10,24.6,10.7827,24,12,49,6.68319,10,1,0,1,1,1,0,10,1.85566,0.811164,1.69822,0.894189,3.26272,0.502765
improved_rl_isac,40,10,10,50.6,4.94862,50.5,42,60,3.06719,10,50.8,5.0728,50.5,42,60,3.14416,10,32.3,4.78539,31,26,44,2.96602,10,0.5,0.707107,0,0,2,0.438269,10,0.133736,0.0301535,0.137714,0.0831601,0.180294,0.0186893,10,25.7,10.9347,24,12,51,6.77737,10,1,0,1,1,1,0,10,2.01949,0.859158,1.7706,1.00977,3.61751,0.532512
improved_rl_isac,41,10,10,50.8,4.98442,50.5,43,61,3.08938,10,51,5.09902,50.5,43,61,3.16041,10,32.6,4.67143,32,26,44,2.89538,10,0.3,0.483046,0,0,1,0.299395,10,0.132909,0.0293832,0.135503,0.0836735,0.177914,0.0182119,10,26,10.924,25.5,12,51,6.77075,10,1,0,1,1,1,0,10,2.02459,0.854601,1.7706,1.03275,3.61751,0.529687
improved_rl_isac,42,10,10,50.9,4.99889,50.5,43,61,3.09834,10,51.1,5.10882,51,43,61,3.16648,10,33.3,4.24395,32.5,28,44,2.63043,10,0.7,0.823273,0.5,0,2,0.51027,10,0.131734,0.0289678,0.135247,0.0816733,0.175649,0.0179544,10,27.1,12.6706,25.5,14,58,7.85333,10,1,0,1,1,1,0,10,2.0787,0.809078,1.78809,1.15173,3.61751,0.501472
improved_rl_isac,43,10,10,51.3,4.87739,51.5,43,61,3.02303,10,51.5,4.99444,51.5,43,61,3.09559,10,33.7,4.08384,33.5,29,44,2.53119,10,0.4,0.699206,0,0,2,0.433372,10,0.130872,0.0290789,0.134038,0.0818713,0.175439,0.0180233,10,27.7,13.1829,26.5,14,60,8.17085,10,1,0,1,1,1,0,10,2.11042,0.792969,1.78809,1.15173,3.61751,0.491487
